,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,INDIAN BANK,IDIB000A001,ADONI,"15/472 GOSHA HOSPITAL, ADONI, KURNOOL DISTRICT , ANDHRA PRADESHPIN 518301",KURNOOL,ADONI,ANDHRA PRADESH,0
1,INDIAN BANK,IDIB000A002,ADYAR,"91 FIRST MAIN RD, GANDHI NAGAR, ADYAR  600020",CHENNAI,CHENNAI,TAMIL NADU,0
2,INDIAN BANK,IDIB000A003,AGRA,E 11/B PRATEEK CENTRE SANJAY PALACE AGRA 202002,AGRA,AGRA,UTTAR PRADESH,0
3,INDIAN BANK,IDIB000A004,AHMEDABAD MAIN,MISSION ROAD BHADRA AHMEDABAD 380 001,AHMEDABAD,AHMEDABAD,GUJARAT,0
4,INDIAN BANK,IDIB000A005,AVINASHILINGAM DEEMED UNIVERSITY CAMPUS,1117  METTUPALAYAM ROADAVINASHILINGAM DEEMED UNIVERSITY CAMPUS  COIMBATORE641043,COIMBOTORE,COIMBATORE,TAMIL NADU,0
5,INDIAN BANK,IDIB000A006,AJMER,JAIPUR ROAD AJMER 305001,AJMER,AJMER,RAJASTHAN,0
6,INDIAN BANK,IDIB000A007,AKATHETHARA,177/6 MALAMPUZHA ROAD AKATHETHARA PALAKKAD 678008,PALAKKAD,AKATHETHARA,KERALA,0
7,INDIAN BANK,IDIB000A008,ALAGAPPA COLLEGE CAMPUS,14 STADIUM ROAD ALAGAPPA COLLEGE CAMPUS ALAGAPPAPURAM 630003,SIVAGANGA,KARAIKUDI,TAMIL NADU,0
8,INDIAN BANK,IDIB000A009,ALAGASAMUDRAM,15/9 TARAMANGALAM MAIN ROAD ALGASAMUDRAM SALEM 636013,SALEM,ALAGASAMUDRAM,TAMIL NADU,0
9,INDIAN BANK,IDIB000A010,ALAMURU,11/85 NEKKANTIVARI STREET ALAMURU 533233,EAST GODAVARI,ALAMURU,ANDHRA PRADESH,0
10,INDIAN BANK,IDIB000A011,ALIPORE ROAD,"22/1, ALIPORE ROAD  VANDANA APARTMENTKOLKATA700027",KOLKATA,KOLKATA,WEST BENGAL,0
11,INDIAN BANK,IDIB000A012,ALAPPUZHA,"P.B. NO.3814, MULLAKAL, ALAPUZHA P.O., ALAPPUZHA DIST.  PIN 688011",ALAPUZZHA,ALAPPUZHA,KERALA,0
12,INDIAN BANK,IDIB000A013,ALWARPET,NO.9 ELDAMS ROADALWARPET  600018,CHENNAI,CHENNAI,TAMIL NADU,0
13,INDIAN BANK,IDIB000A014,ALUVA,KAP COMMERCIAL CENTRERAILWAY STATION ROADALUVAERNAKULAM683101,ERNAKULAM,ALUVA,KERALA,0
14,INDIAN BANK,IDIB000A015,AMBALA CANTT.,ANANT BUILDING RAI MARKETSADAR BAZAR133001,AMBALA,AMBALA CANTT.,HARYANA,0
15,INDIAN BANK,IDIB000A016,AMBUR,21/11  OOMER  ROADAMBUR VELLORE DISTRICT TAMIL NADU635802,VELLORE,AMBUR,TAMIL NADU,0
16,INDIAN BANK,IDIB000A017,AMMAYARKUPPAM,3/129 GANDHI ROAD AMMAYARKUPPAM KANCHEEPURAM TIRUVALLUR 631301,TIRUVALLUR,AMMAYARKUPPAM,TAMIL NADU,0
17,INDIAN BANK,IDIB000A018,AMOOR,20/1 BAZAAR STREET AMMOOR VELLORE 632501,VELLORE,AMMOOR,TAMIL NADU,0
18,INDIAN BANK,IDIB000A019,AMRITSAR,"42, CHOWK FARID, KATRA SHER SINGH,  AMRITSAR  PIN 143001",AMRITSAR,AMRITSAR,PUNJAB,0
19,INDIAN BANK,IDIB000A020,ANAKAPALLI,MAIN ROAD ANAKAPALLI 531001,VISHAKAPATNAM,ANAKAPALLE,ANDHRA PRADESH,0
20,INDIAN BANK,IDIB000A021,ANAND,"NO.5/8/14STATION ROAD, ANAND,  PIN 388001",ANAND,ANAND,GUJARAT,0
21,INDIAN BANK,IDIB000A022,ANANTAPUR,P B NO.27RAILWAY FEEDER ROAD ANANTAPUR 515001,ANANTPUR,ANANTAPUR,ANDHRA PRADESH,0
22,INDIAN BANK,IDIB000A023,ANDHERI,"11/12, MADHAV NAGAR, S V ROAD,ANDHERI (WEST), MUMBAI 4000058",GREATER MUMBAI,MUMBAI,MAHARASHTRA,0
23,INDIAN BANK,IDIB000A024,ANNAMALAINAGAR,"1, SHASTRI HALL ANNAMALAI UNIVERSITY BUILDING608002",CUDDALORE,CHIDAMBARAM,TAMIL NADU,0
24,INDIAN BANK,IDIB000A025,ANNANAGAR,"P B NO 3452W-100, II AVENUEANNA NAGAR600040",CHENNAI,CHENNAI,TAMIL NADU,0
25,INDIAN BANK,IDIB000A026,ARCOT,"ARCOT111, ANNA SALAI ARCOT632503",VELLORE,ARCOT,TAMIL NADU,0
26,INDIAN BANK,IDIB000A027,ARIYANKUPPAM,43 CUDDALORE ROADARIYANKUPPAM  PONDICHERRY605007,PONDICHERRY,ARIYAMKUPPAM,PUDUCHERRY,0
27,INDIAN BANK,IDIB000A028,ARAKONAM,127 SHOLINGHUR ROAD ARAKONAM 631001,VELLORE,ARKONAM,TAMIL NADU,0
28,INDIAN BANK,IDIB000A029,ARNI,30 VADIRAJA ST KOSAPALAYAM ARNI 632301,TIRUVANNAMALAI,ARNI,TAMIL NADU,0
29,INDIAN BANK,IDIB000A030,ARUPPUKOTTAI,"137, PANDALGUDI ROAD  ARUPPUKOTTAI  626101",VIRUDHUNAGAR,ARUPPUKOTTAI,TAMIL NADU,0
30,INDIAN BANK,IDIB000A031,ASHOK NAGAR,69FIRST AVENUEASHOK NAGARCHENNAI  600083,CHENNAI,CHENNAI,TAMIL NADU,0
31,INDIAN BANK,IDIB000A032,ATTUR,835 KANCHEEPURAM HIGH ROAD ATTUR (CHENGALPATTU) KANCHEEPURAM 603101,KANCHEEPURAM,ATTUR,TAMIL NADU,0
32,INDIAN BANK,IDIB000A033,ATTUR,835 KANCHEEPURAM HIGH ROAD ATTUR(CHENGALPATTU) 603101,SALEM,ATTUR,TAMIL NADU,0
33,INDIAN BANK,IDIB000A034,ATTINGAL,"P B NO 6,  AMCXII/472ATTINGAL  P.O. THIRUVANANTHAPURAM 695101",TRIVANDRUM,ATTINGAL,KERALA,0
34,INDIAN BANK,IDIB000A035,AURANGABAD,210 SAMARTH NAGAR AURANAGABAD 431001,AURANGABAD,AURANGABAD,MAHARASHTRA,0
35,INDIAN BANK,IDIB000A036,AVANIAPURAM,15/1242-A/1 ARUPPUKOTTAI MN ROAD MADURAI 625012,MADURAI,AVANIAPURAM,TAMIL NADU,0
36,INDIAN BANK,IDIB000A037,AVANIGADDA,NAGAYALANKA ROAD AVANIGADDA KRISHNA 521121,KRISHNA,AVANIGADDA,ANDHRA PRADESH,0
37,INDIAN BANK,IDIB000A038,AVENUE ROAD,P B NO 6773AVENUE ROADBANGALORE URBAN560002,BANGALORE URBAN,BANGALORE,KARNATAKA,0
38,INDIAN BANK,IDIB000A039,AYODHYAPATNAM,HARUR MAIN ROAD AYODHIAPATNAM 636103,SALEM,AYODHYAPATINAM,TAMIL NADU,0
39,INDIAN BANK,IDIB000A040,AYANAVARAM,18K V KOIL STREET AYANAVARAMCHENNAI 600023,CHENNAI,CHENNAI,TAMIL NADU,0
40,INDIAN BANK,IDIB000A041,AZHAGAPPAPURAM,6/28 FATHIMA ROAD AZHAGAPPAPURAM 629401,KANNIYAKUMARI,AZHAGAPPAPURAM,TAMIL NADU,0
41,INDIAN BANK,IDIB000A042,ASANSOL,APCAR GARDEN ASANSOL 713304,BARDHAMAN,ASANSOL,WEST BENGAL,0
42,INDIAN BANK,IDIB000A043,ARIYOOR,VILLUPURAM MAIN ROAD ARIYOOR PONDICHERRY 605102,PONDICHERRY,ARIYOOR,PUDUCHERRY,0
43,INDIAN BANK,IDIB000A044,ALIGARH,MARRIS ROAD ALIGARH  202001,ALIGARH,ALIGARH,UTTAR PRADESH,0
44,INDIAN BANK,IDIB000A045,AHMEDNAGAR,SABLOK CHAMBERS SARJEPURA M G ROAD AHMEDNAGAR 414001,AHMEDNAGAR,AHMADNAGAR,MAHARASHTRA,0
45,INDIAN BANK,IDIB000A046,ALLAHABAD,249  CHAK ZERO ROADALLAHABADUTTARPRADESH 211003,ALLAHABAD,ALLAHABAD,UTTAR PRADESH,0
46,INDIAN BANK,IDIB000A047,ARRAH,KAMALA MARKET CHITRA TOLI ROAD ARRAH BHOJPUR 802301,BHOJPUR,ARRAH,BIHAR,0
47,INDIAN BANK,IDIB000A048,AGARTALA,AMULYA MARKET MANTRIBARI ROAD AGARTALA WEST TRIPURA 799001,WEST TRIPURA,AGARTALA,TRIPURA,0
48,INDIAN BANK,IDIB000A049,AMRAVATI,"AMRAVATHINEW NO.72, DR. ANNI BESANT NEAR SRI KRISHNA BRAHMA VIDYA444601",AMRAVATI,AMRAVATI,MAHARASHTRA,0
49,INDIAN BANK,IDIB000A050,MANJUSAR,MAHADEV FALIA BARODA SAVLI ROAD MANJUSAR BARODA 391776,VADODARA,MANJUSAR,GUJARAT,0
50,INDIAN BANK,IDIB000A051,ASSODA,1280 KHASRA ASSODA GHAZIABAD 245101,GHAZIABAD,ASODA,UTTAR PRADESH,0
51,INDIAN BANK,IDIB000A052,ARIYALUR,2/121-B PILLAIYAR KOIL STREET ARIYALUR VILLUPURAM 605801,VILLUPURAM,ARIYALUR,TAMIL NADU,0
52,INDIAN BANK,IDIB000A053,ALWAR,"STATION ROAD, ALWAR, RAJASTHAN PIN 301001",ALWAR,ALWAR,RAJASTHAN,0
53,INDIAN BANK,IDIB000A054,ADAMANGALAM,3/35 B ROAD STREET ADAMANGALAM TIRUVANNAMALAI 606901,TIRUVANNAMALAI,ADAMANGALAM,TAMIL NADU,0
54,INDIAN BANK,IDIB000A055,ASSEGAON,WARD NO 1 PARATWADA ROAD ASSEGAON PURNA AMRAVATI 444827,AMRAVATI,ASSEGAON,MAHARASHTRA,0
55,INDIAN BANK,IDIB000A056,AYANGUDI,"123/2, 374, NEW STREET AYANGUDI CUDDALORE 608306",CUDDALORE,AYANGUDI,TAMIL NADU,0
56,INDIAN BANK,IDIB000A057,AKOT,NARSING ROAD AKOT 444101,AKOLA,AKOT,MAHARASHTRA,0
57,INDIAN BANK,IDIB000A058,ARUNGUNDRAM,1/4 ROAD STREET AYILAM ARUNGUNDRAM VELLORE 632509,VELLORE,ARUNGUNRAM,TAMIL NADU,0
58,INDIAN BANK,IDIB000A059,ASWARAVANTHAPURAM,185 CHITTOOR MAIN ROAD ASWARAVANTHAPURAM ERUMBI TIRUVALLUR 631302,TIRUVALLUR,ASWARAVANTHAPURAM,TAMIL NADU,0
59,INDIAN BANK,IDIB000A060,ANANTHAPURAM,59/58 BAZAAR STREET ANANTHAPURAM GINGEE TALUK VILLUPURAM TAMILNADU 605201,VILLUPURAM,ANANTHAPURAM,PONDICHERRY,0
60,INDIAN BANK,IDIB000A061,ANAKAPUTHUR,80KAMARAJAR SALAI ANAKAPUTHUR  CHENNAI600070,CHENNAI,CHENNAI,TAMIL NADU,0
61,INDIAN BANK,IDIB000A062,ALATHUR,55 MAIN ROAD ALATHUR VILLUPURAM 606208,VILLUPURAM,ALATHUR,TAMIL NADU,0
62,INDIAN BANK,IDIB000A063,ATHWALINES,CORNER POINT SHOPPING COMPLEX CITY LIGHT 395007,SURAT,SURAT,GUJARAT,0
63,INDIAN BANK,IDIB000A064,AMBALA CITY,"2674/2, JAGADHARI GATEAMBALA CITYAMBALA134001",AMBALA,AMBALA,HARYANA,0
64,INDIAN BANK,IDIB000A065,ASHRAM ROAD,MARUTHI  HOUSE ASHRAM ROADAHMEDABAD 380009,AHMEDABAD,AHMEDABAD,GUJARAT,0
65,INDIAN BANK,IDIB000A066,AVANIPUR,2/9 METTU STREET AVANIPUR VILLUPURAM 604101,VILLUPURAM,AVANIPUR,TAMIL NADU,0
66,INDIAN BANK,IDIB000A067,ADAVANGUDI,2/91 DARUSALAM STREET ADAVANGUDI KUDAVASAL TALUK THIRUVARUR 613705,TIRUVARUR,KODAVASAL,TAMIL NADU,0
67,INDIAN BANK,IDIB000A069,ANDEVANPALLI,BANK STREET ANDEVANAPALLI KRISHNAGIRI 635107,KRISHNAGIRI,ANDEVANPALLI,TAMIL NADU,0
68,INDIAN BANK,IDIB000A070,ARUVIKKARA,"SHOPPING CENTRE GOVT, HIGH SCHOOL JUNC ARUVIKKARA THIRUVANANTHAPURAM 695564",TRIVANDRUM,THIRUVANANTHAPURAM,KERALA,0
69,INDIAN BANK,IDIB000A071,ALKAPURI,"NO.3, VRAJWADI JETALPUR ROAD  BARODA390005",VADODARA,VADODARA,GUJARAT,0
70,INDIAN BANK,IDIB000A073,AMBALATHARA,T/C 48/1144/SREEVAS POONTHURA PO 695026,TRIVANDRUM,THIRUVANANTHAPURAM,KERALA,0
71,INDIAN BANK,IDIB000A074,AMBATTUR,"123, M T H ROADAMBATTUR CHENNAI600053",TIRUVALLUR,AMBATTUR,TAMIL NADU,0
72,INDIAN BANK,IDIB000A075,AKOLA,206-207 KEDIA PLOT CONVENT RD AKOLA 444005,AKOLA,AKOLA,MAHARASHTRA,0
73,INDIAN BANK,IDIB000A076,ANDARKUPPAM,"238 U, PONNERI ROAD, THATCHUR JOINT RD PANJETTY POT PNNERY TALUK TIRUVALLUR 601204",TIRUVALLUR,ANDARKUPPAM VIRUGAMBAKKA,TAMIL NADU,0
74,INDIAN BANK,IDIB000A077,AMMAYAGARAM,302 EAST STREET AMMAYAGARAM VILLUPURAM 606201,VILLUPURAM,AMMAI AGARAM,TAMIL NADU,0
75,INDIAN BANK,IDIB000A078,ATHANOOR,7/78 KALAINGAR NAGAR ATHANOOR NAMAKKAL 636301,NAMAKKAL,ATHANOOR,TAMIL NADU,0
76,INDIAN BANK,IDIB000A079,AVADI,"112, NEW MILITARY ROAD, AVADI, CHENNAI 600054",TIRUVALLUR,AVADI,TAMIL NADU,0
77,INDIAN BANK,IDIB000A080,ANKULA,ANKULA JAJPUR TOWN 755001,JAJPUR,ANKULA,ODISHA,0
78,INDIAN BANK,IDIB000A081,PATTAMUNDAI,PLOT NO 125 MAHABIR BAZAR PATTAMUNDAI KENDRAPARA 754215,KENDRAPARA,PATTAMUNDAI,ODISHA,0
79,INDIAN BANK,IDIB000A083,"AIRFORCE STN., JORHAT",ROWRIAHJORHAT JORHAT785005,JORHAT,JORHAT,ASSAM,0
80,INDIAN BANK,IDIB000A084,ASIF NAGAR,"MAIN RAOD, ASIF NAGAR, KARIMNAGAR DIST., PIN 505401",KARIM NAGAR,ASIFNAGAR,ANDHRA PRADESH,0
81,INDIAN BANK,IDIB000A086,AGARAPODAKUDI,230 MAIN ROAD AGARAPODAKUDI THRIUVARUR 614103,TIRUVARUR,AGARAPODAKUDI,TAMIL NADU,0
82,INDIAN BANK,IDIB000A087,ARUMBULIYUR,SARVA SEVA SCHOOL COMPOUND KARUMBAKKAM ARUMBULIYUR SATHANACHERY PO KANCHEEPURAM 603106,KANCHEEPURAM,ARUMBULIOR,TAMIL NADU,0
83,INDIAN BANK,IDIB000A088,AVOOR,"1, MANIAM STREET AVOOR TIRUVANNAMALAI 606755",TIRUVANNAMALAI,AVOOR,TAMIL NADU,0
84,INDIAN BANK,IDIB000A089,ANNA SALAI,"PB NO. GEE GEE COMPLEX, FIRST FLOOR, 42,ANNA SALAI, CHENNAI 600 002:",CHENNAI,CHENNAI,TAMIL NADU,0
85,INDIAN BANK,IDIB000A090,ADITHANAR SALAI,"75, ADHITHANAR SALAIPUDUPETCHENNAI600002",CHENNAI,CHENNAI,TAMIL NADU,0
86,INDIAN BANK,IDIB000A091,AMMANPETTAI,770 MAIN ROAD MANAKARAMBAI VEDIYAPURAM POST AMMANPETTAI THANJAVUR 613205,THANJAVUR,AMMANPETTAI,TAMIL NADU,0
87,INDIAN BANK,IDIB000A092,ABHIRAMAPURAM,NO. 63 C P RAMASWAMY ROAD  ABHIRAMAPURAM  600018,CHENNAI,CHENNAI,TAMIL NADU,0
88,INDIAN BANK,IDIB000A094,ALWARTHIRUNAGARI,57 KEELA SANNADHI STREET ALWARTHIRUNAGARI TUTICORIN 628612,THOOTHKUDI,ALWARTHIRUNAGARI,TAMIL NADU,0
89,INDIAN BANK,IDIB000A095,VENKATAPURAM,36 NORTH PARK STREET VENKATAPURAM AMBATTUR KANCHEEPURAM DT 600053,CHENNAI,CHENNAI,TAMIL NADU,0
90,INDIAN BANK,IDIB000A096,AMMAPET,5 NAGAI MAIN ROAD AMMAPET 614401,THANJAVUR,AMMAPET,TAMIL NADU,0
91,INDIAN BANK,IDIB000A097,ANDIMADAM,"NO. 5/125 D, E VRIDHACHALAM ROAD ANDIMADAM PERAMBALUR 621801",PERAMBALUR,ANDIMADAM,TAMIL NADU,0
92,INDIAN BANK,IDIB000A098,ASIAD COLONY,"1961, VIJAYA COMPLEXASIAD COLONYANNA NAGAR WEST EXTN.600101",CHENNAI,CHENNAI,TAMIL NADU,0
93,INDIAN BANK,IDIB000A100,ARIYAMANGALAM,"8/310-A, MAIN ROAD, ARIYAMANGALAM, TRICHYPIN 620010",TIRUCHIORAPPALLI,TIRUCHIRAPPALLI,TAMIL NADU,0
94,INDIAN BANK,IDIB000A103,AVUDAYARKOIL,6/20 EAST STREET AVUDAYAR KOIL PUDUKOTTAI 614618,PUDUKKOTTAI,AVUDAYARKOIL,TAMIL NADU,0
95,INDIAN BANK,IDIB000A105,DILSUKH NAGAR,D-17/109 KAMALANAGAR MAIN ROAD DILSUKH NAGAR  500660,HYDERABAD URBAN,HYDERABAD,ANDHRA PRADESH,0
96,INDIAN BANK,IDIB000A107,M.S.UNIVERSITY(ABISHEKAPATTI),MANONMANIAM SUNDARANAR UNIVERSITY CAMPUS ABHISHEKAPATII TIRUNELVELI 627012,TIRUNELVELI,TIRUNELVELI,TAMIL NADU,0
97,INDIAN BANK,IDIB000A109,AMALAPURAM,3-3-33/1 GROUND FLOOR BANK STREET K AGRAHARM AMALAPURAM 533201,EAST GODAVARI,AMALAPURAM,ANDHRA PRADESH,0
98,INDIAN BANK,IDIB000A110,ADHIRAMPATTINAM,19 PILLAIAR KOIL ST ADHIRAMPATTINAM THANJAVUR 614701,THANJAVUR,ADIRAMAPATTINAM,TAMIL NADU,0
99,INDIAN BANK,IDIB000A111,ARYA SAMAJ ROAD,ARYA SAMAJ BUILDING ARYA SAMAJ ROADHOSHIARPURPUNJAB 146001,HOSIARPUR,HOSHIARPUR,PUNJAB,0
100,INDIAN BANK,IDIB000A114,ABIVIRUTHEESWARAM,"WEST STREET, ABIVIRITHEESWARAM KODAVASAL TALUK TIRUVARUR 613705",TIRUVARUR,KODAVASAL,TAMIL NADU,0
101,INDIAN BANK,IDIB000A116,AVILALA,19-12-226 BAIRAGIPATTEDA AVILALA TIRUPATHI 517501,CHITTOR,AVILALA,ANDHRA PRADESH,0
102,INDIAN BANK,IDIB000A121,STRESSED ASSETS MANAGEMENT BRANCH,"5-1-679, SURABHI ARCADE BANK STREET KOTI HYDERABAD",HYDERABAD,HYDERABAD,TELANGANA,24651169
103,INDIAN BANK,IDIB000A122,ARMB KOLKATA,"3/1, R.N.MUKKHERJI ROAD,2ND FLOORKOLKATAG.P.O KOLKATA WEST BENGAL-700001",KOLKATA,KOLKATA,WEST BENGAL,0
104,INDIAN BANK,IDIB000A123,KHARGHAR,"NO. 27 TO 30, GROW MORE TOWER PLOT NO. 5, SECTOR 2, KHARGHAR, NAVI MUMBAI",RAIGAD,NAVI MUMBAI,MAHARASHTRA,27741552
105,INDIAN BANK,IDIB000A124,ASHOK VIHAR,"B - 1/7, ASHOK VIHAR, PHASE - II, NEW DELHI 110052",NEW DELHI,DELHI,DELHI,0
106,INDIAN BANK,IDIB000A125,AVC COLLEGE MANNAMPANDAL,MANNAMPANDAL MAYILADUTHURAI NAGAI DIST. 609305,NAGAPATTINAM,MAYURAM(MAYILADUTHURAI),TAMIL NADU,0
107,INDIAN BANK,IDIB000A126,AGRA COURT,"CIVIL COURT AGRA, M G ROAD, AGRA 282002",AGRA,AGRA,UTTAR PRADESH,0
108,INDIAN BANK,IDIB000A127,ARUNAI ENGG COLLEGE,"ARUNAI ENGINEERING COLLEGE, VELU NAGAR,TIRUVANNAMALAI  606603.",TIRUVANNAMALAI,TIRUVANNAMALAI,TAMIL NADU,0
109,INDIAN BANK,IDIB000A128,ANAND VIHAR,"117, RAM VIHAR, ANAND VIHAR, NEW DELHI ┬û 110092",NEW DELHI,DELHI,DELHI,0
110,INDIAN BANK,IDIB000A129,ANUPURAM TOWNSHIP,FLAT NO 4 I FLOOR GODAVARI BLDG ANUPRUAM TOWNSHIP MULLIKOLATHUR POST KANCHEEPURAM 603109,KANCHEEPURAM,KALPAKKAM,TAMIL NADU,0
111,INDIAN BANK,IDIB000A130,ADAJAN,UG -1 SANGHVI TOWER ADAJAN SURAT 395009,SURAT,SURAT,GUJARAT,0
112,INDIAN BANK,IDIB000A131,ARIYALUR,27 RAMALINGAM STREET ARIYALUR PERAMBALUR DT 621704,PERAMBALUR,ARIYALUR,TAMIL NADU,0
113,INDIAN BANK,IDIB000A132,ARUMBAKKAM,10/02 LAKSHMI AMMAL STREET AYYAVOO COLONY AMINJIKARAI CHENNAI 600029,CHENNAI,CHENNAI,TAMIL NADU,0
