,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,FINO PAYMENTS BANK,FINO0000001,JUINAGAR,"SHREE SAWAM KNOWLEDGE PARK,PLOT NO D 507, SECOND FLOOR, MIDC TURBHE NAVI MUMBAI 400705",THANE,NAVI MUMBAI,MAHARASHTRA,71047054
1,FINO PAYMENTS BANK,FINO0001001,SATIVALI,"SHOP N.15& 25,GROUND FLOOR,ISTIYAK COMPLEX,S.NO.54,H.NO.D,VILLAGE SATIVALI,VASAI EAST,THANE-400 208",THANA,THANA,MAHARASHTRA,7045695400
2,FINO PAYMENTS BANK,FINO0001002,DEVLI,"34/2,KHANPUR DEVLI ROAD,NEW DELHI-110062",NORTH WEST DELHI,NORTH WEST DELHI,DELHI,9210828074
3,FINO PAYMENTS BANK,FINO0001005,SURARAM,"H NO 2-058/11,PORTION NO 13,FRONT SIDE,OPP NARAYAN HRUDALAYA HOSPITAL,SURARAM,RANGAREDDY,TELANGANA-501401",RANGAREDDI,RANGAREDDI,TELANGANA,9949050744
4,FINO PAYMENTS BANK,FINO0001008,DANILIMBDA,"F 12,ALISHAN COMPLEX,NH ROAD,DANILIMBDA,AHMEDABAD -380043",AHMEDABAD,AHMEDABAD,GUJARAT,7069013958
5,FINO PAYMENTS BANK,FINO0001010,KALAMB,"ASHIRWAD NIVAS,NEAR ICICI BANK,DHOKI ROAD,KALAMB 413507",OSMANABAD,OSMANABAD,MAHARASHTRA,9850412704
6,FINO PAYMENTS BANK,FINO0001012,LABHGAON,"MILL ROAD,KHAGARIA,DIST -KHAGARIA,BIHAR -841204",KHAGARIA,KHAGARIA,BIHAR,9708681922
7,FINO PAYMENTS BANK,FINO0001023,DIGHWARA,"MAIN ROAD DIGHWARA BUS STAND,FRONT OF BOI,DIGHARA,DIST -SARAN,BIHAR -841207",SARAN,SARAN,BIHAR,9835421803
8,FINO PAYMENTS BANK,FINO0001024,UMBERGAON GIDC,"SHOP NO-201,SILVER POINT,PLOT NO-42/2,GIDC,UMBERGAON,VALSAD-396130",VALSAD,VALSAD,GUJARAT,9687631267
9,FINO PAYMENTS BANK,FINO0001025,CHINTAL,"48-303,SHOP NO 6,OPP.HDFC BANK,GANESH NAGAR,CHINTAL - 500054",HYDERABAD,HYDERABAD,ANDHRA PRADESH,9951591504
10,FINO PAYMENTS BANK,FINO0001028,ALWAL,"1-23-113,PLOT NO.2,SHREE NILAYAM,BHOODEVI NAGAR,ALWAL,SECUNDARABAD -500015",HYDERABAD,HYDERABAD,ANDHRA PRADESH,9502744735
11,FINO PAYMENTS BANK,FINO0001029,SANATHNAGAR,"SRT 311,7-2-532,I H COLONY,SANATHNAGAR,HYDERABAD -500018",HYDERABAD,HYDERABAD,ANDHRA PRADESH,9866621202
12,FINO PAYMENTS BANK,FINO0001042,AMBAWADI,"SAKINABAI CHAWL,S.V.ROAD,ABOVE GOODWILLMOTER STORE,AMBAWADI,DAHISAREAST",MUMBAI,MUMBAI,MAHARASHTRA,8097349650
13,FINO PAYMENTS BANK,FINO0001043,SANGANEER,"SANT KUTEER NAGAR NIGAM ROAD,  SANGANEER BAZAAR, JAIPUR 302029",SANGANEER,SANGANEER,RAJASTHAN,9928873757
14,FINO PAYMENTS BANK,FINO0001044,BHANGEL,"H.NO.136,SHOP NO.2,ABOVE PUNJABI DHABHA,CBA COMPLEX,NEAR SALARPUR GATE NO.1,DADRI ROAD,BHANGEL-NOIDA,NOIDA-201301",GAUTAM BUDDHA NAGAR,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,9643331694
15,FINO PAYMENTS BANK,FINO0001045,BHAYANDER,"SHOP PREMISES NO.2,NAVDEEP CHS,OPP.MALHAR ARCADE,NEAR VIMAL DAIRY,BHAYANDAR TAL.BHAYNADAR& DIST.THANE -401105",THANA,THANA,MAHARASHTRA,9930902568
16,FINO PAYMENTS BANK,FINO0001046,KALYAN PHATA,"SHOP NO.03,GROUND FLOOR,DASHRATH APARTMENT,OPP.DATTA MANDIR,KALYAN PHATA,DIAGHAR ROAD,POST.PADLE,TQ. & DIST.THANE-421204",THANA,THANA,MAHARASHTRA,8551993877
17,FINO PAYMENTS BANK,FINO0001047,MIDC CHINCHWAD,"S.NO.100,RC 1,SHOP NO.2,NEAR SBI BANK,AKURDI,PUNE-411035",PUNE,PUNE,MAHARASHTRA,9403427082
18,FINO PAYMENTS BANK,FINO0001048,PAROO,"THANA ROAD,AT PO&PS PAROO,DIST -MUZAFFARPUR,BIHAR -843112",MUZAFFARPUR,MUZAFFARPUR,BIHAR,9507087089
19,FINO PAYMENTS BANK,FINO0001051,AKKALKOT,"C/O HOUSE NO2059,FATTESINGH CHOWK,NEAR IDBI BANK,MAIN ROAD AKKALKOT 413216",SOLAPUR,SOLAPUR,MAHARASHTRA,7588386072
20,FINO PAYMENTS BANK,FINO0001052,MUDHALTITTA,"BORAVADE,MAIN CIRCLE,BEHIND HOTEL,JANATA MUDHALTITTA,MUDHALTITTA,PANCHGAON BORAVADE BO",KOLHAPUR,KOLHAPUR,MAHARASHTRA,0
21,FINO PAYMENTS BANK,FINO0001057,MUKUNDPUR,"PLOT NO.12,VILLAGE MUKANDPUR,ADARSH PARK,DELHI-42",NORTH DELHI,NORTH DELHI,DELHI,8447430746
22,FINO PAYMENTS BANK,FINO0001060,BHIWADI,"SHOP NO.A-17,YOJNA PURI COLONY,RAJASTHAN AWASAN MANDAL,BHIWADI,TEHSIL TIJARA,DISTT.ALWAR,RAJASTHAN",ALWAR,ALWAR,RAJASTHAN,9509412150
23,FINO PAYMENTS BANK,FINO0001061,BEGUSARAI,UBI BUILDING GROUND FLOOR KALI CHAK BEGUSARAI 851101,BEGUSARAI,BEGUSARAI,BIHAR,9570044325
24,FINO PAYMENTS BANK,FINO0001067,BAMBAVADE,"AT POST BAMBAWADE DIST KOLHAPUR,NEAR BUS STAND AND POLICE STATION,MAHARASHTRA 416213",KOLHAPUR,KOLHAPUR,MAHARASHTRA,0
25,FINO PAYMENTS BANK,FINO0001068,PANCHGAON,"778 2 3 1,TRIMURTI COLONY,KALAMBA KOLHAPUR 416007",KOLHAPUR,KOLHAPUR,MAHARASHTRA,0
26,FINO PAYMENTS BANK,FINO0001072,NANGLOI,"PLOT NO.19,RAJENDRA PARK,NANGLOI,DELHI-110041",WEST DELHI,WEST DELHI,DELHI,8447437374
27,FINO PAYMENTS BANK,FINO0001076,DABUA COLONY,"H.NO.2217/14,WARD NO-5,DOCTOR KAUSHIK GALI,JAWAHAR COLONY,N.I.T,FARIDABAD,SECTOR 22,HARYANA-121005",FARIDABAD,FARIDABAD,HARYANA,9810150043
28,FINO PAYMENTS BANK,FINO0001086,KAROL BAGH,"SHOP NO-1-17B,G/F DEV NAGAR KAROL BAGH-110005",CENTRAL DELHI,CENTRAL DELHI,DELHI,9654163537
29,FINO PAYMENTS BANK,FINO0001089,JASOLA VILLAGE,"H NO 70, G , F, JASOLA VILLAGE, NEAR JAMIA COPERATIVE, NEW DELHI  110025",NEW DELHI,NEW DELHI,DELHI,9716082250
30,FINO PAYMENTS BANK,FINO0001091,NANDGRAM,"HOUSE NO.B 321/1,NEAR GREEN SWEETS,NANDGRAM,GHAZIABAD,UP-201005",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,8802985613
31,FINO PAYMENTS BANK,FINO0001093,BHIM NAGAR,"SHOP NO.623/10,GR.FLOOR,BHIM NAGARROAD,GURGAON,HARYANA - 122001",GURGAON,GURGAON,HARYANA,7053006989
32,FINO PAYMENTS BANK,FINO0001097,AKLUJ,"GANDHI CHOWK,MALSHIRAS ROAD,FRONT OF BHARAT PETROL PUMP,AKLUJ 413101",SOLAPUR,SOLAPUR,MAHARASHTRA,8208051285
33,FINO PAYMENTS BANK,FINO0001100,NALLASOPARA E PRAGATI NAGAR,"SHOP NO -4,SAI PALACE,NEXT TO OSWAL NAGAI TULINJ,NALASOPARA E -401209",MUMBAI,MUMBAI,MAHARASHTRA,8983618276
34,FINO PAYMENTS BANK,FINO0001107,MADANPUR KHADAR,"C-1254,GR FLOOR,JJ COLONY,MADANPUR KHADAR ROAD,DELHI",SOUTH DELHI,SOUTH DELHI,DELHI,8800512358
35,FINO PAYMENTS BANK,FINO0001108,KALA AMB,"TIRLOKPUR ROAD,KALA AMB,AMBALA,HARYANA -133001",NARAINGARH,NARAINGARH,HARYANA,8352982985
36,FINO PAYMENTS BANK,FINO0001109,ALANDI,"SHOP NO 16,THAKUR GODASE BLD,ALANDI,TAL.KHAD,PUNE -410501",PUNE,PUNE,MAHARASHTRA,8055144544
37,FINO PAYMENTS BANK,FINO0001111,ASHOK NAGAR,"PLOT NO-12,S.NO.495,RAJA KARMACHARI,ASHOK NAGAR,SATPUR,NASHIK -422007",NASIK,NASIK,MAHARASHTRA,9146787852
38,FINO PAYMENTS BANK,FINO0001112,AUTO NAGAR,"D.NO.66-1-1A,PLOT NO 32C/396,WARD NO 27A,SIVALAYAM STREET,NTR CIRCLE,PATAMATA,KRISHNA DIST.VIJAYWADA,AP -520010",VIJAYWADA,VIJAYWADA,ANDHRA PRADESH,8520048256
39,FINO PAYMENTS BANK,FINO0001113,BADDI,"WARD 3,SERAJ MANJRE,TEH BADDI DISTT.SOLAN,HP -173205",SOLAN,SOLAN,HIMACHAL PRADESH,7831889070
40,FINO PAYMENTS BANK,FINO0001115,BHANDUP W PAGARE NIWAS,"SHOP NO.1,PAGARE NIWAS,PIPE LINE,TULSHEET PADA ROAD,BHANDUP W -400078",MUMBAI,MUMBAI,MAHARASHTRA,9890179851
41,FINO PAYMENTS BANK,FINO0001116,BOMANNAHALLI,"NO.4/2,W.NO.12,HOSUR MAIN ROAD,BOMMANAHALLI,BANGALORE -560068",BANGALORE,BANGALORE,KARNATAKA,9966689497
42,FINO PAYMENTS BANK,FINO0001118,CHAR RASTA,"SHOP NO 1784/45,R K COMPLEX PALSANA,CHAR RASTA,PALSANA,SURAT -394327",SURAT,SURAT,GUJARAT,9978865765
43,FINO PAYMENTS BANK,FINO0001122,DAHEJ,"SHOP NO 22,GR.FLOOR,SAI NARAYAN COMPLEX,BLOCK NO.695,AT& PO-DAHEJ,TA VAGARA,BHARUCH -392130",BHARUCH,BHARUCH,GUJARAT,9574172797
