,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000001,RTGS-HO,"THE KANGRA COOPERATIVE BANK LTD, KANGRA BHAWAN, 1916, CHUNA MANDI , PAHARGANJ, NEW DELHI -110055",DELHI,DELHI,DELHI,9013568412
1,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000002,JAGATPURI,"THE KANGRA COOPERATIVE BANK LTD, 73 A , A- BLOCK, JAGATPURI DELHI -110051",DELHI,DELHI,DELHI,9013568409
2,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000003,JANAKPURI,"THE KANGRA COOPERATIVE BANK LTD, C-29, COMMUNITY CENTRE , PANKHA ROAD , JANAKPURI, NEW DELHI -110058",DELHI,DELHI,DELHI,9013568411
3,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000004,ROHINI,"THE KANGRA COOPERATIVE BANK LTD, A-50, NAHARPUR MAIN MARKET , OPP. POCKET - E 5,SECTOR -7, ROHINI, DELHI -110085",DELHI,DELHI,DELHI,9013568414
4,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000005,GOVINDPURI,"THE KANGRA COOPERATIVE BANK LTD, 1/7, MAIN ROAD, GOVINDPURI, NEW DELHI -110019",DELHI,DELHI,DELHI,9013568410
5,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000006,MAYUR VIHAR,"THE KANGRA COOPERATIVE BANK LTD, C 4/17, ACHARYA NIKETAN, MAYUR VIHAR PHASE- 1, DELHI -110091",DELHI,DELHI,DELHI,9013568428
6,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000007,"SANT NAGAR, BURARI","THE KANGRA COOPERATIVE BANK LTD, 1, KHUSHAL COMPLEX , B - BLOCK , SANT NAGAR, BURARI , DELHI -110084",DELHI,DELHI,DELHI,9013568417
7,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000008,PUL PEHLADPUR,"PLOT NO.B 183,UPPER GROUND FLOOR,MB ROAD,PUL PEHLADPUR,NEW DELHI 110044",DELHI,DELHI,DELHI,9013568416
8,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000009,BHAJANPURA,"PLOT NO. 397, GROUND FLOOR, BLOCK  F, KASRA NO. 103, KHAJOORI KHAS,WARIRABAD ROAD, BHAJANPURA CHOWK",DELHI,DELHI,DELHI,9013568416
9,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000010,UTTAM NAGAR BRANCH,"WZ-C-21,C-22 GROUND FLOOR,POKECT-A PATEL NAGAR GARDEN,UTTAM NAGAR-110059",NEW DELHI,DELHI,DELHI,65263111
10,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000011,RANJIT NAGAR BRANCH,"LOWER GROUND FLOOR, PLOT NO- 34/105, KHASRA NUMBER-774/599/36, VILLAGE- KHAMPUR, RANJIT NAGAR, MAIN PATEL NAGAR ROAD- 110008",CENTRAL DELHI,DELHI,DELHI,65263111
11,THE KANGRA COOPERATIVE BANK LIMITED,KANG0000012,NANGLOI BRANCH,"THE KANGRA CO-OPERATIVE BANK LIMITED,PLOT NO-19,1ST FLOOR,KHASRA NO-36/20/1,RAJINDRA PARK,SECTRO-1,MAIN ROHTAK ROAD,NANGLOI,NEW DELHI-110041",DELHI,DELHI,DELHI,25941551
