,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,The Vijay Co Operative Bank Limited,VCOB0000001,RTGS-HO,"NOBLES BUILDING,OPP.NEHRU BRIDGE,ASHRAM ROAD",AHMEDABAD,AHMEDABAD,GUJARAT,26587688
1,The Vijay Co Operative Bank Limited,VCOB0000002,NARODA ROAD,"NR.FRUIT MARKET,VIJAY MILLS,NARODA ROAD",AHMEDABAD,AHMEDABAD,GUJARAT,22200979
2,The Vijay Co Operative Bank Limited,VCOB0000003,ASARWA,"SHOP NO-1/2/3 -ABHISHEK-4,NR-ASARWA BRIDGE,ASARWA",AHMEDABAD,AHMEDABAD,GUJARAT,22120005
3,The Vijay Co Operative Bank Limited,VCOB0000004,KALUPUR,"KALUPUR CIRCLE,KALUPUR",AHMEDABAD,AHMEDABAD,GUJARAT,22124613
4,The Vijay Co Operative Bank Limited,VCOB0000005,NEHRU BRIDGE,"NOBLES OPP NEHRU BRIDGE,ASHRAM ROAD",AHMEDABAD,AHMEDABAD,GUJARAT,26584217
5,The Vijay Co Operative Bank Limited,VCOB0000006,JAMALPUR,"NEAR JAMALPUR DARWAJA,JAMALPUR",AHMEDABAD,AHMEDABAD,GUJARAT,25396160
6,The Vijay Co Operative Bank Limited,VCOB0000008,MEGHANINAGAR,"RATNASAGAR SOC,CROSS ROADS,MEGHANINAGAR",AHMEDABAD,AHMEDABAD,GUJARAT,22683242
7,The Vijay Co Operative Bank Limited,VCOB0000009,SUBHASH BRIDGE,"OPP-R.T.O,SUBHASHBRIDGE CIRCLE",AHMEDABAD,AHMEDABAD,GUJARAT,27556666
8,The Vijay Co Operative Bank Limited,VCOB0000010,BAPUNAGAR,"MANPASAND COMPLEX,B/H SAMJUBA HOSPITAL",AHMEDABAD,AHMEDABAD,GUJARAT,22749556
9,The Vijay Co Operative Bank Limited,VCOB0000011,SABARMATI,"RAMNAGAR CHOWK,SABARMATI",AHMEDABAD,AHMEDABAD,GUJARAT,27507484
10,The Vijay Co Operative Bank Limited,VCOB0000012,AKHABARNAGAR,"1,FIRST FLOOR,SWENI COMPLEX,OPP RONAK PARK SOCIETY,NEAR AKHBARNAGAR",AHMEDABAD,AHMEDABAD,GUJARAT,27643604
11,The Vijay Co Operative Bank Limited,VCOB0000013,ODHAV,"RUDRAX COMPLEX,B/H CMC ODHAV",AHMEDABAD,AHMEDABAD,GUJARAT,22874636
12,The Vijay Co Operative Bank Limited,VCOB0000014,NARANPURA,"ADISWAR COMPLEX,ANKUR CHAR RASTA,NARANPURA",AHMEDABAD,AHMEDABAD,GUJARAT,27439323
13,The Vijay Co Operative Bank Limited,VCOB0000015,GOTA,"7/8/9.ICB FLORA,B/H.VODAPHONE TOWER,NR-HANUMANJI TAMPLE,GOTA",AHMEDABAD,AHMEDABAD,GUJARAT,9426511687
14,The Vijay Co Operative Bank Limited,VCOB0000016,NAVA NARODA,"3/3.MARUTI PARK SOCIETY,SARDAR CHOWK,OPP-MANIBA SCHOOL,NAVA NARODA",AHMEDABAD,AHMEDABAD,GUJARAT,22809556
15,The Vijay Co Operative Bank Limited,VCOB0000017,VATVA,"G/F-73,74,RUDRAX -2,PHASE -3,G.I.D.C.ROAD,VATVA",AHMEDABAD,AHMEDABAD,GUJARAT,25891090
16,The Vijay Co Operative Bank Limited,VCOB0000018,KUDASAN,"1,2,3.SARTHAK HEVAN,SHYAM SUKAN RESIDENC SERVICE ROAD,NR-RAYSAN PETROL PUMP,KUDASAN",AHMEDABAD,AHMEDABAD,GUJARAT,29750011
