,BANK,IFSC,MICR CODE,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
0,THE ROYAL BANK OF SCOTLAND N V,ABNA0NEFT02,,LOWER PAREL WEST MUMBAI,"ABN AMRO BANK,414 EMPIRE COMPLEX,SENAPATI BAPAT MARG LOWER PAREL WEST MUMBAI 400013",0,MUMBAI,MUMBAI,MAHARASHTRA
1,THE ROYAL BANK OF SCOTLAND N V,ABNA0200001,400030004.0,"SAKHAR BHAVAN, MUMBAI","SAKHAR BHAVAN, NARIMAN POINT,MUMBAI - 400021.",0,GREATER BOMBAY,MUMBAI,MAHARASHTRA
2,THE ROYAL BANK OF SCOTLAND N V,ABNA0101310,,TREASURY,"SAKHAR BHAVAN, 8TH FLOOR, NARIMAN ROAD,MUMBAI 400 021",0,MUMBAI,MUMBAI,MAHARASHTRA
3,THE ROYAL BANK OF SCOTLAND N V,ABNA0100340,144030002.0,JALANDHAR,"MIDLAND FINANCIAL CENTRE,GROUND FLOOR, 21-22, G.T. ROAD,JALANDHAR, PUNJAB- 144001",0,JALANDHAR,JALANDHAR,PUNJAB
4,THE ROYAL BANK OF SCOTLAND N V,ABNA0100339,342030002.0,JODHPUR,"KHASRA NO.9/4,OPP.IOCL PUNP,MAIN SALAWAS ROAD, BASNI PHASE - II, VILLAGE SANGARIYA, TEHSIL JODHPUR- 324005",0,JODHPUR,JODHPUR,RAJASTHAN
5,THE ROYAL BANK OF SCOTLAND N V,ABNA0100338,282030002.0,AGRA,"KHASRA NO.71&72 VILLAGE MAUZA DEHTURA, TEHSIL AND DISTRICT AGRA - 282 007",0,AGRA,AGRA,UTTAR PRADESH
6,THE ROYAL BANK OF SCOTLAND N V,ABNA0100337,313030002.0,UDAIPUR,"SHUBH APPT, GROUND FLOOR , PLOT NO. 99, L ROAD, BHUPALPURA, VERMA CIRCLE, OPP. COLLECTOR BUNGALOW, UDAIPUR - 313001",0,UDAIPUR,UDAIPUR,RAJASTHAN
7,THE ROYAL BANK OF SCOTLAND N V,ABNA0100336,110030004.0,NOIDA,"OCEAN HEIGHTS, K - 4 SECTOR 18, NOIDA - 201301",0,GAUTAM BODDA NAGAR,NOIDA,UTTAR PRADESH
8,THE ROYAL BANK OF SCOTLAND N V,ABNA0100335,400030005.0,"JUHU, MUMBAI","GROUND & FIRST FLOOR, DURU HOUSE, JUHU TARA ROAD, JUHU, MUMBAI - 400049",0,GREATER BOMBAY,MUMBAI,MAHARASHTRA
9,THE ROYAL BANK OF SCOTLAND N V,ABNA0100333,700030004.0,"SALT LAKE CITY, KOLKATA","CD-16 , SECTOR - 1, SALT LAKE CITY, KOLKATA - 700064",0,KOLKATA,KOLKATA,WEST BENGAL
10,THE ROYAL BANK OF SCOTLAND N V,ABNA0100332,700030002.0,"BRABOURNE ROAD, KOLKATA","18 A, BRABOURNE ROAD, KOLKATA - 700001",0,KOLKATA,KOLKATA,WEST BENGAL
11,THE ROYAL BANK OF SCOTLAND N V,ABNA0100331,416030002.0,KOLHAPUR,"GROUND FLOOR, ANANT TOWERS , 1115 K-1 SHAHUPURI, KOLHAPUR - 416001",0,KOLHAPUR,KOLHAPUR,MAHARASHTRA
12,THE ROYAL BANK OF SCOTLAND N V,ABNA0100330,110030006.0,GURGAON,"VATIKA FIRST INDIA PLACE, TOWER B GROUND FLOOR, BLOCK A SUSHANT LOK PHASE I, MEHRAULI GURGAON ROAD, GURGAON - 122 002",0,GURGAON,GURGAON,HARYANA
13,THE ROYAL BANK OF SCOTLAND N V,ABNA0100329,110030010.0,"RAJOURI GARDEN, NEW DELHI","J-12/11 RAJOURI GARDEN,NEW DELHI-110027",0,NEW DELHI,DELHI,DELHI
14,THE ROYAL BANK OF SCOTLAND N V,ABNA0100328,110030009.0,"GK 1, NEW DELHI","R-67, GREATER KAILASH-I, NEW DELHI - 110048",0,NEW DELHI,DELHI,DELHI
15,THE ROYAL BANK OF SCOTLAND N V,ABNA0100327,110030007.0,"HAUZ KHAS, NEW DELHI","M-6 HAUZ KHAS, NEW DELHI 110016",0,NEW DELHI,DELHI,DELHI
16,THE ROYAL BANK OF SCOTLAND N V,ABNA0100326,575030002.0,MANGALORE,"MAXIMUS COMMERCIAL COMPLEX, LIGHT HOUSE HILL ROAD, MANGALORE - 575001",0,DAKSHINA KANNADA,MANGALORE,KARNATAKA
17,THE ROYAL BANK OF SCOTLAND N V,ABNA0100318,560030002.0,BANGALORE,"PRESTIGE TOWERS', GROUND FLOOR, 99 & 100, RESIDENCY ROAD, BANGALORE 560 025.",0,BANGALORE URBAN,BANGALORE,KARNATAKA
18,THE ROYAL BANK OF SCOTLAND N V,ABNA0100317,500030001.0,HYDERABAD,"6-3-248/1/1/A, ROAD NO. 1, BANJARA HILLS, HYDERABAD - 500034",0,HYDERABAD URBAN,HYDERABAD,ANDHRA PRADESH
19,THE ROYAL BANK OF SCOTLAND N V,ABNA0100316,390030002.0,BARODA,"7, ALKAPURI, R.C. DUTT ROAD, BARODA - 390 007",0,VADODARA,VADODARA,GUJARAT
20,THE ROYAL BANK OF SCOTLAND N V,ABNA0100314,411030001.0,PUNE,"327, MAHATMA GANDHI ROAD, PUNE CAMP, PUNE - 411001",0,PUNE,PUNE,MAHARASHTRA
21,THE ROYAL BANK OF SCOTLAND N V,ABNA0100313,600030002.0,CHENNAI,"KRM TOWERS,NO 1 HARRINGTON ROAD,CHETPET, CHENNAI 600031",0,CHENNAI,CHENNAI,TAMIL NADU
22,THE ROYAL BANK OF SCOTLAND N V,ABNA0100312,110030003.0,"HANSALAYA, NEW DELHI","HANSALAYA BUILDING, 15, BARAKHAMBA ROAD, NEW DELHI - 110001",0,NEW DELHI,DELHI,DELHI
23,THE ROYAL BANK OF SCOTLAND N V,ABNA0100311,700030003.0,"CAMAC STREET, KOLKATA","AZIMGANJ HOUSE, 7 CAMAC STREET, KOLKATA - 700017",0,KOLKATA,KOLKATA,WEST BENGAL
24,THE ROYAL BANK OF SCOTLAND N V,ABNA0100310,400030002.0,"BRADY HOUSE, MUMBAI","BRADY HOUSE,14 VEER NARIMAN ROAD,FORT, MUMBAI - 400023",0,GREATER BOMBAY,MUMBAI,MAHARASHTRA
25,THE ROYAL BANK OF SCOTLAND N V,ABNA0000001,,RTGS-HO,"414 EMPIRE COMPLEX, SENAPATI BAPAT MARG LOWER PAREL WEST MUMBAI 400013",0,GREATER BOMBAY,MUMBAI,MAHARASHTRA
