,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000001,RTGS-HO,"S V C TOWER, NEHRU ROAD, SANTACRUZ MUMBAI 400055",GREATER BOMBAY,MUMBAI,MAHARASHTRA,71991201
1,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000002,CUFFE PARADE,"MAKER TOWERS'E',CUFFEPARADE,MUMBAI-400 005",GREATER BOMBAY,MUMBAI,MAHARASHTRA,67444545
2,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000003,BANDRA,"C,CHITRAPUR CHS,27TH RD TPS III,BANDRA(W), MUMBAI 400 050",GREATER BOMBAY,MUMBAI,MAHARASHTRA,26426280
3,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000004,BORIVALI,"BAL VATSALAYA BLDG,KASTURBA CROSS RD NO-1,BORIVALI,MUMBAI-400 066",GREATER BOMBAY,MUMBAI,MAHARASHTRA,28058425
4,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000005,MATUNGA,"5,KANARA HOUSE,MOGAL LANE,MAHIM,MUMBAI-400 016",GREATER BOMBAY,MUMBAI,MAHARASHTRA,24379927
5,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000006,S V MARG,"H/2, ANANDASHRAM,SHAMRAO VITHAL MARG,MUMBAI-400 007",GREATER BOMBAY,MUMBAI,MAHARASHTRA,23867924
6,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000007,SAKINAKA,"SHOP NO. 11, 12, 30, 31, GROUND FLOOR, SAGAR TECH PLAZA ┬û A PREMISES CHS LTD., VILLAGE MOHILI, ANDHERI ┬û KURLA ROAD, SAKINAKA, MUMBAI - 400072",GREATER BOMBAY,MUMBAI,MAHARASHTRA,28522508
7,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000008,SANTACRUZ,"8/1,SARASWAT COLONY,SANTACRUZ(W),MUMBAI-400 054",GREATER BOMBAY,MUMBAI,MAHARASHTRA,26600584
8,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000009,SLEATER ROAD,"A/3-4,GANESH PRASAD,NAUSHIR BHARUCHA MARG,MUMBAI-400 007",GREATER BOMBAY,MUMBAI,MAHARASHTRA,23812092
9,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000010,VILE PARLE,"GEETANJALI,NEHRU ROAD,VILEPARLE(E),MUMBAI-400 057",GREATER BOMBAY,MUMBAI,MAHARASHTRA,26133210
10,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000011,GOREGAON,"12,UDYOG NAGAR,TIME STAR BLDG,S V RD,GOREGAON,MUMBAI-400 062",GREATER BOMBAY,MUMBAI,MAHARASHTRA,28740578
11,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000012,MANDVI,"82/84,ANAND BLDG,KAZI SYED STREET,MANDVI,MUMBAI-400 003",GREATER BOMBAY,MUMBAI,MAHARASHTRA,23446206
12,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000013,VERSOVA,"7,SARKAR CORNER,J P RD,ANDHERI(W),MUMBAI-400 058",GREATER BOMBAY,MUMBAI,MAHARASHTRA,26770151
13,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000015,KALYAN,"SAI VIHAR,CHHATRAPATI SHIVAJI PATH,SHIVAJI CHAWK,KALYAN-421 301",THANE,KALYAN,MAHARASHTRA,2313479
14,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000016,MULUND,"SABNIS NIWAS,RHB RD,MULUND(W),MUMBAI-400 080",GREATER BOMBAY,MUMBAI,MAHARASHTRA,25605735
15,THE SHAMRAO VITHAL COOPERATIVE BANK,SVCB0000017,MAHAKALI CAVES RD,"SANSKRITI PARK,OPP. CANOSSA HIGH SCHOOL,ANDHERI(E), MUMBAI-400 093",GREATER BOMBAY,MUMBAI,MAHARASHTRA,28370781
