,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,FEDERAL BANK,FDRL0000001,ATM POOL BRANCH,FEDERAL TOWERS ALUVA,ERNAKULAM,ALUVA,KERALA,0
1,FEDERAL BANK,FDRL0000008,CURRENCY CHEST NEW DELHI,"FEDERAL TOWERS, ZONAL OFFICE 2/2, WEST PATEL NAGAR, 110008",NEW DELHI,NEW DELHI,NAGALAND,25885485
2,FEDERAL BANK,FDRL0000016,TREASURY DEPT,TREASURY DEPARTMENT THE FEDERAL BANK LTD LAXMI TOWERS BKC MUMBAI,MUMBAI,MUMBAI,MAHARASHTRA,2525161
3,FEDERAL BANK,FDRL0000035,HEAD OFFICE (HAS),P.B.NO. 103 HEAD OFFICE ALUVA  KL,ERNAKULAM,ALUVA,KERALA,0
4,FEDERAL BANK,FDRL0000037,INFORMATION TECHNOLOGY DEPARTMENT,"P B NO 103,HEAD OFFICE,ALUVA 683 101,KERALA",ERNAKULAM,ALUVA,KERALA,0
5,FEDERAL BANK,FDRL0000111,MUMBAI / ZONAL OFFICE,ZONAL OFFICE 9 LAKSHMI TOWERS GRD FL BANDRA(EAST) MUMBAI,MUMBAI SUBURBAN,MUMBAI,MAHARASHTRA,26506959
6,FEDERAL BANK,FDRL0000121,BANGALORE ZONAL OFFICE,P B NO.  8226  BLDG NO:123/107 1ST FLR 7 BLOCK 2 MAIN RD 27CROSS JAYA NG BAN,BANGALORE,BANGALORE,KARNATAKA,26640563
7,FEDERAL BANK,FDRL0000131,KOLKATA ZONAL OFFICE,ZONAL OFFICE REGENCY-2ND FL 6 HUNGERFORD ST KOLKATA-17,KOLKATA,KOLKATA,WEST BENGAL,22830840
8,FEDERAL BANK,FDRL0000141,ERNAKULAM ZONAL OFFICE,ZONAL OFFICE 6TH FL FEDERAL TOWERS MARINE DRIVE ERNAKULAM,ERNAKULAM,ERNAKULAM,KERALA,2385520
9,FEDERAL BANK,FDRL0000151,KOZHIKODE ZONAL OFFICE,2ND FLOOR FEDERAL TOWER 27/97G MAVOOR RD ARAYIDATHPALAM,KOZHIKODE,KOZHIKODE,KERALA,2741100
10,FEDERAL BANK,FDRL0000171,CHENNAI ZONAL OFFICE,BHATTAD TOWER  IST FLOOR 30 WEST COTT ROAD ROYAPETTAH CHENNAI,CHENNAI,CHENNAI,TAMIL NADU,0
11,FEDERAL BANK,FDRL0000181,NEWDELHI ZONAL OFFICE,ZONAL OFFICE  1/7  FIRST FLOOR PATEL ROAD NEW DELHI,NEW DELHI,NEW DELHI,DELHI,25885485
12,FEDERAL BANK,FDRL0000211,THIRUVANANTHAPURAM ZONALOFFICE,ZONAL OFFICE P.B.NO.303 FEDERAL TOWERS THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,KERALA,2331365
13,FEDERAL BANK,FDRL0000301,THIRUVANANTHAPURAM CREDIT HUB,"CREDIT HUB-SME/RETAIL PB NO.303, FEDERAL TOWERS, M.G.ROAD, STATUE",THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,KERALA,0
14,FEDERAL BANK,FDRL0000303,KOTTAM CREDIT HUB,"KOTTAYAM REGIOANL OFFICE,PB NO 80,THEKKUMKAL BUILDING,T B ROAD , KOTTAYAM 686001",KOTTAYAM,KOTTAYAM,KERALA,2566950
15,FEDERAL BANK,FDRL0000308,CHENNAI CREDIT HUB,"30, WEST COTT ROAD BHATTAD TOWERS, ROYAPETTAH",CHENNAI,CHENNAI,TAMIL NADU,0
16,FEDERAL BANK,FDRL0000311,KOLHAPUR CREDIT HUB,"SHRUSHTI MAHABARAT APARTMENTS,NEAR COLLECTOR OFFICE, MAHALA COLLEGE ROAD, NAGALA PARK, KOLHAPUR, MAHARASHTRA",KOLHAPUR,KOLHAPUR,MAHARASHTRA,2657973
17,FEDERAL BANK,FDRL0000314,COIMBATORE CREDIT HUB,"REGIONAL CREDIT HUB, 1ST FLOOR, DR. NANJAPPA BUILDING, 330, VARIETY HALL, COIMBATORE - 641001",COIMBATORE,COIMBATORE,TAMIL NADU,2305988
18,FEDERAL BANK,FDRL0000315,AHMEDABAD RCH,"401 RBS OPP HK COLLEGE, ASHRAM ROAD , AHMEDABAD, GUJARAT",AHMEDABAD,AHMEDABAD,GUJARAT,26582585
19,FEDERAL BANK,FDRL0000317,PUNE CREDIT HUB,"THE FEDERAL BANK LTD.,, 1STFLOOR, SAIKRUPA BL OPP. SPENCERS,BHANDARKAR ROAD,DECCAN",PUNE,PUNE,MAHARASHTRA,0
20,FEDERAL BANK,FDRL0000319,CRCH CHENNAI,"THIRD FLOOR TRINITY TOWER NEW NO 30 CONRON SMITH ROAD, GOPALAPURAM,TAMILNADU",CHENNAI,CHENNAI,TAMIL NADU,28351141
21,FEDERAL BANK,FDRL0000320,GOVERNMENT BUSINESS DEPARTMENT,"2ND FLOOR, C WING, LAXMI TOWER, BANDRA KURLA COMPLEX, MUMBAI 400051",MUMBAI,MUMBAI,MAHARASHTRA,61748727
22,FEDERAL BANK,FDRL0000401,DPS DIVISON ERNAKULAM,"DEPOSITORY SERVICE DIVISION, FEDERAL TOWERS MARINE DRIVE ERNAKULAM , KOCHI 682031",ERNAKULAM,ERNAKULAM,KERALA,2367101
23,FEDERAL BANK,FDRL0000501,ERNAKULAM/SERVICE,"SERVICE BRANCH, GROUND FLOOR FEDERAL TOWERS, ERNAKULAM",ERNAKULAM,ERNAKULAM,KERALA,0
24,FEDERAL BANK,FDRL0000502,CHENNAI / FUNDS & INVESTMENT,"W -121, FIRM TOWERS,I FLOOR 3RD AVENUE,ANNA NAGAR,",CHENNAI,CHENNAI,TAMIL NADU,0
25,FEDERAL BANK,FDRL0000503,NEWDELHI / FUNDS & INVESTMENT,FUNDS AND INVESTMENT BRANCH M-74  CONNAUGHT CIRCUS NEW DELHI,NEW DELHI,NEW DELHI,DELHI,23415434
26,FEDERAL BANK,FDRL0000504,MUMBAI / FUNDS & INVESTMENTS,"1ST FLOOR,NARIMAN BHAVAN, NARIMAN POINT",MUMBAI,MUMBAI,MAHARASHTRA,0
27,FEDERAL BANK,FDRL0000505,KOLKATA / FUNDS & INVESTMENT,FUNDS & INVESTMENT BRANCH 1/1  CAMAC STREET KOLKATA,KOLKATA,KOLKATA,WEST BENGAL,22171743
28,FEDERAL BANK,FDRL0000506,BANGALORE /  F & I BRANCH,"FUNDS & INVESTMENT BRANCH, NO.24, MEAZZANINE FLOOR, 2ND CROSS, GANDHINAGAR",BANGALORE,BANGALORE,KARNATAKA,22201998
29,FEDERAL BANK,FDRL0000507,THIRUVANANTHAPURAM/SERVICE,"FIRST FLOOR SAMRUDHI ANUPAM TC27/517(2) PATTOOR,VANCHIYOOR",THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,KERALA,0
30,FEDERAL BANK,FDRL0000508,KOZHIKODE / SERVICE,FIRST FLOOR  FEDERAL TOWERS 27/97G  MAVOOR ROAD KOZHIKODE,KOZHIKODE,KOZHIKODE,KERALA,2744569
31,FEDERAL BANK,FDRL0000509,THRISSUR / SERVICE,SERVICE BRANCH  DOOR NO.28/637 ANJALI COMMERCIAL COMPLEX THRISSUR,THRISSUR,THRISSUR,KERALA,2321182
32,FEDERAL BANK,FDRL0000510,ALAPUZHA / SERVICE,421 N 2ND FLOOR  CHANDRA SQUARE CULLEN ROAD ALAPUZHA,ALAPUZHA,ALAPUZHA,KERALA,2230636
33,FEDERAL BANK,FDRL0000511,KOLLAM / SERVICE,MAH BUILDING BEACH ROAD KOLLAM,KOLLAM,KOLLAM,KERALA,2766952
34,FEDERAL BANK,FDRL0000512,KOTTAYAM / SERVICE,THEKKUMKAL BUILDINGS T.B. ROAD  KOTTAYAM,KOTTAYAM,KOTTAYAM,KERALA,2583322
35,FEDERAL BANK,FDRL0000513,PATHANAMTHITTA/SERVICE,SERVICE BRANCH 1ST FLOOR PATHANAMTHITTA,PATHANAMTHITTA,PATHANAMTHITTA,KERALA,2322026
36,FEDERAL BANK,FDRL0000514,PALAKKAD / SERVICE,2ND FLOOR SANJO TOWERS 2ND FLOOR SANJO TOWERS PALAKKAD,PALAKKAD,PALAKKAD,KERALA,0
37,FEDERAL BANK,FDRL0000515,KANNUR / SERVICE,NO. CW 35/1647 - 1650 JUBILY COMPLEX ONDEN ROAD  KANNUR,KANNUR,KANNUR,KERALA,2707701
38,FEDERAL BANK,FDRL0000516,HYDERABAD / SERVICE BRANCH,"UNIT NO.301, III FLOOR DEGA TOWERS,RAJBHAVAN SOMAJIGUDA, BEGMPET, HYDERABAD",HYDERABAD,HYDERABAD,ANDHRA PRADESH,0
39,FEDERAL BANK,FDRL0000FMC,TREASURY FMC,"C8, LAKSHMI TOWERS, BKC MUMBAI",MUMBAI,MUMBAI,MAHARASHTRA,26566644
40,FEDERAL BANK,FDRL0000TSY,TREASURY DEPT,"C-8, FIRST FLOOR, LAXMI TOWERS, BKC MUMBAI 400051",MUMBAI,MUMBAI,MAHARASHTRA,26566632
41,FEDERAL BANK,FDRL0001001,ALUVA / BANK JUNCTION,I ST FLOOR  FEDERAL HEIGHTS BYE PASS JUNCTION ALUVA,ERNAKULAM,ALUVA,KERALA,0
42,FEDERAL BANK,FDRL0001002,ANGAMALY,P B NO. 10 ANGAMALLY ANGAMALY,ERNAKULAM,ANGAMALY,KERALA,0
43,FEDERAL BANK,FDRL0001003,PERUMBAVOOR,P B NO. 6 FEDERAL CHAMBERS PERUMBAVOOR,ERNAKULAM,PERUMBAVOOR,KERALA,0
44,FEDERAL BANK,FDRL0001004,ERNAKULAM/NORTH,P B NO. 1927 BANERJI ROAD ERNAKULAM NORTH  KOCHI,ERNAKULAM,ERNAKULAM,KERALA,0
45,FEDERAL BANK,FDRL0001005,CHALAKUDY,P B NO. 20 CHALAKUDY CHALAKUDY,THRISSUR,CHALAKUDY,KERALA,0
46,FEDERAL BANK,FDRL0001006,KOOTHATTUKULAM,P B NO. 3 M C ROAD KOOTHATUKULAM,ERNAKULAM,KOOTHATTUKULAM,KERALA,2252026
47,FEDERAL BANK,FDRL0001007,EDVANAKKAD,ILLATHUPADI EDAVANAKKAD EDAVANAKKAD,ERNAKULAM,EDVANAKKAD,KERALA,2505327
48,FEDERAL BANK,FDRL0001008,KOTHAMANGALAM,P B NO. 4 KOTHAMANGALAM KOTHAMANGALAM,ERNAKULAM,KOTHAMANGALAM,KERALA,2862247
49,FEDERAL BANK,FDRL0001009,MUVATTUPUZHA,P B NO. 8 MUVATTUPUZHA MUVATTUPUZHA,ERNAKULAM,MUVATTUPUZHA,KERALA,2832906
50,FEDERAL BANK,FDRL0001010,MUNNAR,P B NO. 15 MUNNAR MUNNAR,IDUKKI,MUNNAR,KERALA,0
51,FEDERAL BANK,FDRL0001011,KOLENCHERRY,P B NO. 3 KOLENCHERY KOLENCHERY,ERNAKULAM,KOLENCHERRY,KERALA,0
52,FEDERAL BANK,FDRL0001012,KALAMASSERY,P B NO. 18 PREMIER JUNCTION KALAMASSERY,ERNAKULAM,KALAMASSERY,KERALA,0
53,FEDERAL BANK,FDRL0001013,THALAYOLAPARAMBU,THALAYOLAPARAMBU THALAYOLAPARAMBU THALAYOLAPARAMBU,KOTTAYAM,THALAYOLAPARAMBU,KERALA,236125
54,FEDERAL BANK,FDRL0001014,THRISSUR / MAIN,ANJALI  COMPLEX ROUND NORTH THRISSUR,THRISSUR,THRISSUR,KERALA,0
55,FEDERAL BANK,FDRL0001015,ALAPUZHA,"SREE RAJARAJESWARY BUILDING, CHURCH ROAD MULLACKAL, ALAPUZHA DIST.",ALAPUZHA,ALAPUZHA,KERALA,2261732
56,FEDERAL BANK,FDRL0001016,VARAPUZHA,VARAPUZHA VARAPUZHA VARAPUZHA,ERNAKULAM,VARAPUZHA,KERALA,2513021
57,FEDERAL BANK,FDRL0001017,KALLETTUMKARA,KALLETTUMKARA KALLETTUMKARA KALLETTUMKARA,THRISSUR,THRISSUR,KERALA,2881856
58,FEDERAL BANK,FDRL0001018,NEDUMKANDAM,"CENTRAL JUNCTION NEDUMKANDAM ,IDUKKI DISTRICT",IDUKKI,NEDUMKANDAM,KERALA,232021
