,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,BANK OF BARODA,BARB0AAMBUR,AMBUR,44 15A BYPASS ROAD AMBUR CHENNAI TAMIL NADU 635802,CHENNAI,CHENNAI,TAMIL NADU,1800223344
1,BANK OF BARODA,BARB0AANTIY,"AANTIYAA TALAB, UP","1385, SHARDA HILLS COLONY,NEW BASTI,AANTIYAA TALAB,MAIN ROAD,JHANSI,UTTAR PRADESH ┬û 284001.",JHANSI,JHANSI,UTTAR PRADESH,1800223344
2,BANK OF BARODA,BARB0AARANI,ARANI,33 GANDHI ROAD OPP OLD BUS STAND ARANI DIST THIRUVANNAMALAI TAMIL NADU 632301,TIRUVANNAMALAI,ARNI,TAMIL NADU,1800223344
3,BANK OF BARODA,BARB0ABADAN,ABADAN,"AT ABADAN,PO CHITRES,BLOCK KAKATPUR,DIST PURI,ORISSA - 752108",PURI,KAKATPUR,ODISHA,1800223344
4,BANK OF BARODA,BARB0ABHANP,"ABHANPUR,RAIPUR,CH","RAJIM ROAD,NEAR BUS STAND,ABHANPUR,DIST RAIPUR,CHHATTISGARH ┬û 497001",RAIPUR,ABHANPUR,CHANDIGARH,1800223344
5,BANK OF BARODA,BARB0ABHAYK,"ABHAYKHAND,GHAZIABAD,UP","MAHALAXMI SQUARE,C1 ABHAY KHAND-2,INDIRAPURAM,GHAZIABAD,UTTAR PRADESH ┬û 201010",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,1800223344
6,BANK OF BARODA,BARB0ABOHAR,"ABOHAR, DIST FEROZPUR","ST.NO.9, ABOHAR DIST FEROZPUR 152116",FEROZEPUR,ABOHAR,PUNJAB,1800223344
7,BANK OF BARODA,BARB0ABRAMA,"ABRAMA, DIST NAVSARI","AT & PO.:ABRAMA, TA.:JALALPORE,DIST NAVSARI, GUJARAT 396406",NAVSARI,ABRAMA,GUJARAT,1800223344
8,BANK OF BARODA,BARB0ABRBUL,"ABRAMA BR., VALSAD, GUJARAT","H NO 16/2981 DHARAMPUR ROAD, VALSAD, GUJARAT - 396 001",VALSAD,BULSAR,GUJARAT,1800223344
9,BANK OF BARODA,BARB0ABROAD,"ABU ROAD, DIST SIROHI","ABU ROAD , DIST SIROHI , PIN-387026",SIROHI,ABU ROAD,RAJASTHAN,1800223344
10,BANK OF BARODA,BARB0ABRSUR,ABRAMA,"ABRAMA,TAL KAMREJ,DIST SURAT,GUJARAT 394150",CUTTACK,KAMREJ,ODISHA,1800223344
11,BANK OF BARODA,BARB0ABUXXX,MOUNT ABU DIST SIROHI,"MT.ABU,DIST-SIROHI , PIN-307501",SIROHI,MOUNT ABU,RAJASTHAN,1800223344
12,BANK OF BARODA,BARB0ACHALP,"ACHALPUR, AMRAVATI","PLOT NO-01, NEAR BUS STOP, AMRAVATI ROAD, ACHALPUR CAMP, PARATWADA,AMRAVATI, MAHARASHTRA-444805",AMRAVATI,ACHALPUR(CAMP),MAHARASHTRA,1800223344
