,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001000,HEAD OFFICE,"HAKIKAT NAGAR, SAHARANPUR - 247001",SAHARANPUR,SAHARANPUR,UTTAR PRADESH,2726125
1,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001001,ANSARI ROAD,"13 BY 1207,ANSARI ROAD,SAHARANPUR 247001 UP",SAHARANPUR,SAHARANPUR,UTTAR PRADESH,2612381
2,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001002,GANGOH,"RAMBAGH ROAD,GANGOH 247341 DISTT.SAHARANPUR UP",SAHARANPUR,GANGOH,UTTAR PRADESH,234437
3,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001003,HAKIKAT NAGAR,"BHAGAT SINGH COLONY, NEAR OLD SALES TAX OFFICE,HAKIKAT NAGAR,SAHARANPUR 247001 UP",SAHARANPUR,SAHARANPUR,UTTAR PRADESH,2726125
4,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001004,DEOBAND,"GROUND FLOOR, 780, SUBHASH CHOWK, RAILWAY ROAD, DEOBAND, DISTRICT SAHARANPUR UP",SAHARANPUR,DEOBAND,UTTAR PRADESH,222808
5,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001005,AMBEHTA,"H. NO. 688 BY 15,NEAR BUS STAND,MAIN ROAD, AMBEHTA, DISTRICT SAHARANPUR UP",SAHARANPUR,AMBEHTA,UTTAR PRADESH,225311
6,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001006,DHAR,"3B 4,WARD NO.8 BY 22,OPP.DHARESHWAR MANDIR,MANDI SAMITI ROAD,DHAR 454001 MP",DHAR,DHAR,MADHYA PRADESH,222413
7,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001007,NOIDA SECTOR TWENTY SEVEN,"BHOJA MARKET,NEAR VINAYAK HOSPITAL,SECTOR 27,NOIDA 201301 UP",GAUTAM BUDH NAGAR,NOIDA,UTTAR PRADESH,2555333
8,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001008,MEERUT,"C 2 BY 6, NAYI SADAK, SASHTRI NAGAR, MEERUT, DISTRICT MEERUT UP",MEERUT,MEERUT,UTTAR PRADESH,2604364
9,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001009,CHILKANA ROAD,"8 BY 3805 AND 8 BY 3805 BY 1, DARRA KOTTALA, GYAN GARDEN COLONY, CHILKANA ROAD, SAHARANPUR UP",SAHARANPUR,SAHARANPUR,UTTAR PRADESH,2650021
10,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001010,INDORE,"100, JAORA COMPOUND, BHAGWATI PALACE, INDORE MP 452001",INDORE,INDORE,MADHYA PRADESH,2704268
11,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001011,NAGAL,"SAHARANPUR MUZAFFARNAGAR G. T. ROAD, NAGAL 247551, DISTRICT SAHARANPUR",SAHARANPUR,NAGAL,UTTAR PRADESH,0
12,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001012,SARSAWA,"51AND53, AMBALA ROAD, SARSAWA, DISTRICT SAHARANPUR UP",SAHARANPUR,SARSAWA,UTTAR PRADESH,246125
13,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001013,NANAUTA,"NANAUTA DEOBAND ROAD, NANAUTA, DISTRICT SAHARANPUR",SAHARANPUR,NANAUTA,UTTAR PRADESH,9927986125
14,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001014,RAMPUR MANIHARAN,"MAHAJANAN, RAMPUR MANIHARAN, DISTRICT SAHARANPUR",SAHARANPUR,RAMPUR MANIHARAN,UTTAR PRADESH,9927007125
15,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001015,GHAZIABAD G T RD,"SACHIN COMPLEX, 507 BHATIA MORE, G.T.ROAD, GHAZIABAD UP",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,8750037000
16,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001016,NOIDA SECTOR ONE THITYFIVE,"68, UPPER GROUND FLOOR, WA, SECTOR 135, NOIDA, DISTRICT GAUTAM BUDHNAGAR UP",GAUTAM BUDH NAGAR,NOIDA,UTTAR PRADESH,9990106135
17,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001017,SHARDA NAGAR,"GROUND FLOOR, 1 BY 1245, WAK MOHALA, KHALASI LINE, SHARDA NAGAR, SAHARANPUR UP",SAHARANPUR,SAHARANPUR,UTTAR PRADESH,8477006125
18,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001018,MUZAFFAR NAGAR,"GROUND FLOOR, 311, SOUTH BHOPA ROAD, NAI MANDI, MUZAFFARNAGAR UP",MUZAFFAR NAGAR,MUZAFFER NAGAR,UTTAR PRADESH,9837400037
19,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001019,INDIRAPURAM GBD,"RAISON SHOPPING COMPLEX, PLOT NO.3, MALL ROAD, AHINSA KHAND II, INDIRAPURAM, GHAZIABAD UP",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,9760020091
20,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001020,KHATAULI,"GROUND FLOOR, 08, MOH GANESH PURI, NEAR GHANTA GHAR, G. T. ROAD, KHATAULI, DISTRICT MUZAFFARNAGAR UP",MUZAFFAR NAGAR,KHATAULI,UTTAR PRADESH,9568925000
21,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001021,MADHO NAGAR,"GROUND FLOOR, 6 BY 6276, NEW MADHO NAGAR, SAHARANPUR UP",SAHARANPUR,SAHARANPUR,UTTAR PRADESH,9837060380
22,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001022,KHARGONE,"73, JAWAHAR NAGAR, KHARGONE, MP",KHARGONE,KHARGONE,MADHYA PRADESH,0
23,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001023,ALAMBAGH,"565-KA/68, AMRUDHI BAGH, SRINGARNAGAR, ALAMBAGH, LUCKNOW",LUCKNOW,LUCKNOW,UTTAR PRADESH,0
24,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001024,VIKAS NAGAR,"M/S ASHA ROOP APARTMENT, 1/135, VIKAS NAGAR, LUCKNOW",LUCKNOW,LUCKNOW,UTTAR PRADESH,0
25,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001025,HAPUR,"W-29/73(1), OPP. COLLECTOR GANJ, RAILWAY ROAD, HAPUR",HAPUR,HAPUR,UTTAR PRADESH,0
26,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001026,SHAMLI,"HOUSE NO. 99/2, V.V. INTERNAL COLLEGE ROAD, SHAMLI  247776",SHAMLI,SHAMLI,UTTAR PRADESH,0
27,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001027,NOIDA SECTOR FORTY FIVE,"SDA 08 A, SEC-45,NOIDA, GAUTAM BUDH NAGAR, PIN-201303",GAUTAM BUDH NAGAR,NOIDA,UTTAR PRADESH,0
28,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001028,MAWANA,"2422-2423, HASTINAPUR ROAD, MAWANA, MEERUT-250401",MEERUT,MAWANA,UTTAR PRADESH,0
29,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001029,DEWAS,"8, TARANI COLONY, A.B. ROAD, DEWAS (MP)- 455001",DEWAS,DEWAS,MADHYA PRADESH,0
30,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001030,UJJAIN,"64, VARUCHI MARG, FREEGANJ, UJJAIN, MP",UJJAIN,UJJAIN,MADHYA PRADESH,0
31,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,SMCB0001031,SARDHANA,"567-569,CHAUDHARY MARKET,NEAR UNION BANK OF INDIA,BINOLI ROAD,SARDHANA,DISTT MEERUT(UP)-250342",MEERUT,SARDHANA,UTTAR PRADESH,237015
