,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,CITY UNION BANK LIMITED,CIUB0000001,TNAGAR CHENNAI,"19,MAHALAKSHMI STREET,CHENNAI600017",CHENNAI,CHENNAI,TAMIL NADU,24340010
1,CITY UNION BANK LIMITED,CIUB0000002,THANJAVUR,"16091611,SOUTH MAIN STREET,THANJAVUR613009",THANJAVUR,THANJAVUR,TAMIL NADU,230943
2,CITY UNION BANK LIMITED,CIUB0000003,KUMBAKONAM TOWN,"NO.42. MUTT STREET,KUMBAKONAM TOWN612001",THANJAVUR,KUMBAKONAM,TAMIL NADU,2421176
3,CITY UNION BANK LIMITED,CIUB0000004,KUMBAKONAM MO,"149 BIG STREET,KUMBAKONAM MAIN612001",THANJAVUR,KUMBAKONAM,TAMIL NADU,2421058
4,CITY UNION BANK LIMITED,CIUB0000005,MAYILADUTHURAI,"No.45,Pattamangala Street,Mayiladuthurai",NAGAPATTINAM,MAYILADUTHURAI,TAMIL NADU,222156
5,CITY UNION BANK LIMITED,CIUB0000006,NAGAPATINAM,"39 NEELA,SOUTH STREET,NAGAPATTINAM611001",NAGAPATTINAM,NAGAPATTINAM,TAMIL NADU,242852
6,CITY UNION BANK LIMITED,CIUB0000007,MANNARGUDI,"174 GANDHI ROAD, MANNARGUDI- 614001",TIRUVARUR,MANNARGUDI,TAMIL NADU,252815
7,CITY UNION BANK LIMITED,CIUB0000008,TIRUVARUR  VIJAYAPURAM,"MUTHU SHOPPING COMPLEX, GROUND FLOOR, 84 MARKET ROAD, VIJAYPURAM - 610 001",TIRUVARUR,TIRUVARUR,TAMIL NADU,223197
8,CITY UNION BANK LIMITED,CIUB0000009,ADUTHURAI,"No. 22/40-41, Tharangampadi Road,ADUTHURAI,THANJAVUR",THANJAVUR,ADUTHURAI,TAMIL NADU,2472174
9,CITY UNION BANK LIMITED,CIUB0000010,AYYEMPETTAI,"240, SALAI STREET, MAIN ROAD, AYYAMPET -614 201",THANJAVUR,AYYEMPETTAI,TAMIL NADU,242287
10,CITY UNION BANK LIMITED,CIUB0000011,ERAVANCHERRY,"DOOR NO.2 BY 332, MAIN ROAD, ERAVANCHERY - 609 501",TIRUVARUR,ERAVANCHERY,TAMIL NADU,273429
11,CITY UNION BANK LIMITED,CIUB0000012,KORADACHERRY,"220 VKM BUILDINGS, KAMRAJ SALAI, KORADACHERY- 613 703",TIRUVARUR,KORADACHERY,TAMIL NADU,232422
12,CITY UNION BANK LIMITED,CIUB0000013,KODAVASAL,"45 MAIN ROAD, KODAVASAL - 612 601",TIRUVARUR,KODAVASAL,TAMIL NADU,262033
13,CITY UNION BANK LIMITED,CIUB0000014,KUTTALAM,"67, MELACHETTY ST, KUTTALAM - 609 801",NAGAPATTINAM,KUTTALAM,TAMIL NADU,234024
14,CITY UNION BANK LIMITED,CIUB0000015,NANNILAM,"53-B BAZAAR STREET, NANILLAM - 610 105",TIRUVARUR,NANNILAM,TAMIL NADU,230437
15,CITY UNION BANK LIMITED,CIUB0000016,SANNANALLUR,"32 BY 2, GROUND FLOOR, NAGAPATTINAM MAIN ROAD, SANANALLUR",TIRUVARUR,SANNANALLUR,TAMIL NADU,230512
16,CITY UNION BANK LIMITED,CIUB0000017,PORAYAR,"SHANDEVELI STREET, PORAYAR",NAGAPATTINAM,PORAYAR,TAMIL NADU,289431
17,CITY UNION BANK LIMITED,CIUB0000018,SEMBANARKOIL,"1 BY 34 MAIN ROAD, SEMBARNARKOIL",NAGAPATTINAM,SEMBANARKOIL,TAMIL NADU,282438
18,CITY UNION BANK LIMITED,CIUB0000019,TIRUKKATTUPALLI,"30 BAZAAR STREET, THIRUKATTUPALLI",THANJAVUR,TIRUKATTUPALLI,TAMIL NADU,280461
19,CITY UNION BANK LIMITED,CIUB0000020,TIRUPANANDAL,"No.9, South Car Street, TIRUPANANDAL,THANJAVUR",THANJAVUR,TIRUPANANDAL,TAMIL NADU,2456444
20,CITY UNION BANK LIMITED,CIUB0000021,THIRUVIDAIMARUTHUR,"103 NORTH STREET, TIRUVIDAIMARDUR - 612 104.",THANJAVUR,TIRUVIDAIMARUTHUR,TAMIL NADU,2460124
21,CITY UNION BANK LIMITED,CIUB0000022,VALANGAIMAN,"SRIRAM NIVAS, DOOR NO.27, KAILASANATHAR SOUTH ST, VALANGAIMAN - 612 804",TIRUVARUR,VALANGAIMAN,TAMIL NADU,264422
22,CITY UNION BANK LIMITED,CIUB0000023,TIRUCHIRAPPALLI,"KALIAMHAN KOIL ST,INDIRA GANDHI COLLEGE COMPUS,TRICHY620002",TIRUCHIRAPALLI,TIRUCHIRAPALLI,TAMIL NADU,2704180
23,CITY UNION BANK LIMITED,CIUB0000024,ARIYALUR,"6A, Mela Agraharam,ARIYALUR",ARIYALUR,ARIYALUR,TAMIL NADU,222073
24,CITY UNION BANK LIMITED,CIUB0000025,JAYANKONDAM,"63A SANNATHI STREET, JAYAMKONDAM - 621 802",ARIYALUR,JAYANKONDAM,TAMIL NADU,250268
