,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,CENTRAL BANK OF INDIA,CBIN0011102,GAD CENTRAL OFFICE,"14 TH FLOOR, CHANDERMUKHI BUILDING, NARIMAN POINT, MUMBAI",GREATER BOMBAY,MUMBAI,MAHARASHTRA,22612008
1,CENTRAL BANK OF INDIA,CBIN0011414,"RAJDHANI COLLEGE, RAJA GARDEN, NEW DELHI","RAJDHANI COLLEGE, RAJA GARDEN, NEW DELHI",DELHI,DELHI,DELHI,22612008
2,CENTRAL BANK OF INDIA,CBIN0013266,INVESTMENT CENTRAL OFFICE,"NARIMAN POINT, MUMBAI",GREATER BOMBAY,MUMBAI,MAHARASHTRA,22612008
3,CENTRAL BANK OF INDIA,CBIN0280001,GUWAHATI,"RAHMAN MANZIL,IST FLOOR,PAN BAZAR,GUWAHATI - 781001,DIST: KAMRUP",KAMRUP,GUWAHATI,ASSAM,22612008
4,CENTRAL BANK OF INDIA,CBIN0280002,SUALKUCHI,"PO-SUALKUCHI NO1, DIST- KAMRUP, ASSAM-781103",KAMRUP,SUALKUCHI,ASSAM,22612008
5,CENTRAL BANK OF INDIA,CBIN0280003,"BIJOYNAGAR, DIST. KAMRUP","P.O. BIJOYNAGAR, DIST-KAMRUP, ASSAM-781122",KAMRUP,BIJOYNAGAR,ASSAM,22612008
6,CENTRAL BANK OF INDIA,CBIN0280004,TANGLA,P.O. TANGLADIST-UDALGURIASSAM-784526,DARRANG,TANGLA,ASSAM,22612008
7,CENTRAL BANK OF INDIA,CBIN0280005,DIBRUGARH,"BHAGWAN BUILDING, 1ST FLOOR, H.S. ROAD, DIST-DIBRUGARH,ASSAM-786001",DIBRUGARH,DIBRUGARH,ASSAM,22612008
8,CENTRAL BANK OF INDIA,CBIN0280006,SHILLONG,"BARA BAZAR ROAD 29, CANTONMENT P.O. SHILLONG MEGHALAYA - 793001",EAST KHASI HILLS,SHILLONG,MEGHALAYA,22612008
9,CENTRAL BANK OF INDIA,CBIN0280007,"BIRLA MANDIR RD., PATNA","BIRLA MANDIR ROAD, PATNA, DIST-PATNA, BIHAR-800014",PATNA,PATNA,BIHAR,22612008
10,CENTRAL BANK OF INDIA,CBIN0280008,BORING ROAD,"LAXMI COMPLEX,BORING ROAD,PATNA-800001",PATNA,PATNA,BIHAR,22612008
11,CENTRAL BANK OF INDIA,CBIN0280009,PATNA MAIN OFFICE,"NEW DAK BUNGALOW, PATNA -800001",PATNA,PATNA,BIHAR,22612008
12,CENTRAL BANK OF INDIA,CBIN0280010,JHAUGANJ PATNA CITY,"JHAUGANJ, PATNA,DIST-PATNA,BIHAR-800008.",PATNA,PATNA,BIHAR,22612008
13,CENTRAL BANK OF INDIA,CBIN0280011,RAJENDRA NAGAR,PATLIPUTRA PATH RAJENDRA NAGAR PATNA-800016,PATNA,PATNA,BIHAR,22612008
14,CENTRAL BANK OF INDIA,CBIN0280012,BIHARSHARIF,"BAIN HOUSE, BIHARSHARIF DISTT- NALANDA 803101",NALANDA,BIHAR SHARIF,BIHAR,22612008
15,CENTRAL BANK OF INDIA,CBIN0280013,RAJGIR,"UPADHYAY TOLI, RAJGIR,803116",NALANDA,RAJGIR,BIHAR,22612008
16,CENTRAL BANK OF INDIA,CBIN0280014,HARNAUT,"N.H. 31, P.O. HARNAUT,DIST-NALANDA,BIHAR-803110.",NALANDA,HARNAUTH,BIHAR,22612008
17,CENTRAL BANK OF INDIA,CBIN0280015,MUZAFFARPUR,"P.B. NO. 7, SARAIYAGANJ MAIN ROAD, MUZAFFARPUR",MUZAFFARPUR,MUZAFFARPUR,BIHAR,22612008
18,CENTRAL BANK OF INDIA,CBIN0280016,LALGANJ BIHAR,"CHANDRA BHAVAN, LALGANJ, DIST- VAISHALI,  BIHAR-844121",VAISHALI,LALGANJ,BIHAR,22612008
19,CENTRAL BANK OF INDIA,CBIN0280017,MAHNAR BAZAR,"P.O. MAHNAR BAZAR, DIST- VAISHALI,  BIHAR-844506.",VAISHALI,MAHNAR BAZAR,BIHAR,22612008
20,CENTRAL BANK OF INDIA,CBIN0280018,RUNISAIDPUR,"P.O. RUNISAIDPUR,DIST-SITAMARHI,BIHAR-843328",SITAMARHI,RUNISAIDPUR,BIHAR,22612008
21,CENTRAL BANK OF INDIA,CBIN0280019,SHEOHAR,"P.O. SHEOHAR, DIST.:SHEOHAR, BIHAR - 843329",SHEOHAR,SHEOHAR,BIHAR,22612008
22,CENTRAL BANK OF INDIA,CBIN0280020,SITAMARHI,"MARWARI BAZAR,DIST-SITAMARHI- 843301",SITAMARHI,SITAMARHI,BIHAR,22612008
23,CENTRAL BANK OF INDIA,CBIN0280021,SURSAND,"P.O. SURSAND, DIST- SITAMARHI,  BIHAR-843331",SITAMARHI,SURSAND,BIHAR,22612008
24,CENTRAL BANK OF INDIA,CBIN0280022,DHOLI,"RAJENDRA AGRICULTURAL UNIVERSITY CAMPUS, P.O. DHOLI, DIST-MUZAFFARPUR, BIHAR-84312",MUZAFFARPUR,DHOLI,BIHAR,22612008
25,CENTRAL BANK OF INDIA,CBIN0280023,DUMRA,"BISHWANATH CHOWK,PO-SITAMARHI COURT,DIST-SITAMARHI-843302",SITAMARHI,DUMRA,BIHAR,22612008
26,CENTRAL BANK OF INDIA,CBIN0280024,MOTIPUR,"P.O. MOTIPUR, DIST- MUZAFFARPUR,  BIHAR-843111",MUZAFFARPUR,MOTIPUR,BIHAR,22612008
27,CENTRAL BANK OF INDIA,CBIN0280025,RIGHA,"MILL CHOWK, P.O. RIGHA, DIST.-SITAMARHI,BIHAR-843328",SITAMARHI,RIGHA,BIHAR,22612008
28,CENTRAL BANK OF INDIA,CBIN0280026,"SAHEBGANJ, DIST. MUZAFFARPUR","P.O. KURNOWL,DIST-MUZAFFARPUR,BIHAR-813125",MUZAFFARPUR,SAHEBGANJ,BIHAR,22612008
29,CENTRAL BANK OF INDIA,CBIN0280027,BETTIAH,"3,LALTERN CHOWK,LALABAZAR STREET, BETIAH-845 438",PASCHIMI CHAMPARAN,BETTIAH,BIHAR,22612008
30,CENTRAL BANK OF INDIA,CBIN0280028,MOTIHARI,"MAIN ROAD, PO-MOTIHARI,DIST-EAST CHAMPARAN-845401",PURBI CHAMPARAN,MOTIHARI,BIHAR,22612008
31,CENTRAL BANK OF INDIA,CBIN0280029,BAGAHA,"P.O. BAGAHA,DIST-WEST CHAMPARAN,BIHAR-845301",PASCHIMI CHAMPARAN,BAGAHA,BIHAR,22612008
32,CENTRAL BANK OF INDIA,CBIN0280030,LUTHAHA,"PO-MOTIHARICOURT , LUTHAHA- 845401,DIST- EAST CHAMPARAN",PURBI CHAMPARAN,LUTHAHA,BIHAR,22612008
33,CENTRAL BANK OF INDIA,CBIN0280031,RAXAUL,"P.B. NO. 8, MAIN BAZAR (CHOWK) RAXAUL DIST: EAST CHAMPARAN",PURBI CHAMPARAN,RAXAUL,BIHAR,22612008
34,CENTRAL BANK OF INDIA,CBIN0280032,ADAPUR,"P.O.ADAPUR, DIST- EAST CHAMPARAN,  BIHAR-845 301",PURBI CHAMPARAN,ADAPUR,BIHAR,22612008
35,CENTRAL BANK OF INDIA,CBIN0280033,CHAPRA,"HATHUA MARKET, PO-CHAPRA -841301",SARAN,CHAPRA,BIHAR,22612008
36,CENTRAL BANK OF INDIA,CBIN0280034,SIWAN,"PANNA MARKET,NAYA BAZAR,SIWAN-841226",SIWAN,SIWAN,BIHAR,22612008
37,CENTRAL BANK OF INDIA,CBIN0280035,DIGHAWA DUBAULI,"DIGHAWA DUBAULI, DIST- GOPALGANJ,  BIHAR",GOPALGANJ,DIGHWA DUBAULI,BIHAR,22612008
38,CENTRAL BANK OF INDIA,CBIN0280036,DIGHWARA,"P.O. DIGHWARA, DIST- SARAN (CHAPRA),  BIHAR-841207",SARAN,DIGHWARA,BIHAR,22612008
