,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000001,RTGS-HO,"JANVAIBHAV,OLD COTTON MARKET,AKOLA,PIN 444001",AKOLA,AKOLA,MAHARASHTRA,0
1,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000002,MALEGAON,"JANVAIBHAV, MAIN ROAD, MALEGAON PIN 444 503",WASHIM,MALEGAON,MAHARASHTRA,271252
2,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000003,RISOD,"JANVAIBHAV, MAIN ROAD, CIVIL LINE, RISOD PIN 4440506",WASHIM,RISOD,MAHARASHTRA,222367
3,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000004,WASHIM,"JANVAIBHAV,RISOD NAKA, WASHIM PIN 444 505",WASHIM,WASHIM,MAHARASHTRA,232190
4,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000005,MANGRULPIR,"JANVAIBHAV, MAIN ROAD, MANGRULPIR PIN 444 403",WASHIM,MANGRULPIR,MAHARASHTRA,260369
5,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000006,KARANJA,"JANVAIBHAV, SHASIKANT TALKIES ROAD, KARANJA PIN 444 105",WASHIM,KARANJA,MAHARASHTRA,222194
6,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000007,TELHARA,"MAIN ROAD, TELHARA PIN 444 108",AKOLA,TELHARA,MAHARASHTRA,231595
7,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000008,TAJNAPETH,"SUBHASH ROAD, TAJNAPETH, AKOLA PIN 444 001",AKOLA,AKOLA,MAHARASHTRA,2436155
8,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000009,TAPADIA NAGAR,"TATYASAHEB OKE MARG, JATHARPETH CHOWK, AKOLA PIN 444 005",AKOLA,AKOLA,MAHARASHTRA,2490714
9,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000010,GORAKSHAN ROAD,"PRABHU PLAZA, NEAR POWER HOUSE, GORAKSHAN ROAD, AKOLA PIN 444 004",AKOLA,AKOLA,MAHARASHTRA,2458851
10,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000011,MURTIZAPUR,"HARIYA NAGAR,MAIN ROAD,MURTIZAPUR PIN 444107",AKOLA,AKOLA,MAHARASHTRA,243205
11,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000012,AKOT,"AKOLA ROAD,SHIVAJI CHOWK,AKOT PIN 444101",AKOLA,AKOT,MAHARASHTRA,222445
12,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000013,SHIRPUR,"OMKAR NAGRI,WARD NO.3,BEHIND BUS STAND,SHIRPUR PIN 444 504",WASHIM,SHIRPUR,MAHARASHTRA,274018
13,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000014,MANORA,"MAIN ROAD,MANORA PIN 444 404",WASHIM,MANORA,MAHARASHTRA,263330
14,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000015,AMRAVATI,"DEVHARI COMPLEX,NEAR VASANT TALKIES,JAISTAMBH CHOWK,AMRAVATI PIN 444 601",AMRAVATI,AMRAVATI,MAHARASHTRA,2576761
15,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000016,KHAMGAON,"JANVAIBHAV,SHRIRAM CHOWK,PHARSHI ROAD,INFRONT OF SAHELE COMPLEX,KHAMGAON PIN 444 303",BULDHANA,KHAMGAON,MAHARASHTRA,254592
16,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000017,OLD CITY,"NEAR CHHAYA HOSPITAL,DABKI ROAD,OLD CITY,AKOLA PIN 444 001",AKOLA,AKOLA,MAHARASHTRA,2440424
17,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000018,JALGAON,"91,NAVIPETH,NEAR L.I.C. OFFICE,JALGAON PIN 425 001",JALGAON,JALGAON,MAHARASHTRA,2220736
18,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000019,YAVATMAL,"DATTA CHOWK,YAVATMAL PIN 445 001",YAVATMAL,YAVATMAL,MAHARASHTRA,246670
19,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000020,NAGPUR,"SERVODAYA CLOTH MARKET,GANDHI BAUG,NAGPUR PIN 440 002",NAGPUR,NAGPUR,MAHARASHTRA,2772314
20,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000021,DIGRAS,"NETAJI CHOWK,MAIN ROAD,DIGRAS PIN 445 203",YAVATMAL,DIGRAS,MAHARASHTRA,222584
21,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000022,MALKAPUR ROAD,"MAYUR COLONY,NEAR OCTRIO NAKA,MALKAPUR ROAD,AKOLA PIN 444 004",AKOLA,AKOLA,MAHARASHTRA,2458175
22,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000023,AKOT ROAD,"JANVAIBHAV,NEAR HOMEOPATHIC COLLEGE,AKOT ROAD,AKOLA PIN 444 003",AKOLA,AKOLA,MAHARASHTRA,2442484
23,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000024,MALKAPUR,"JANVAIBHAV,BHANSALI COMPLEX,BULDHANA ROAD,MALKAPUR PIN 443 101",BULDHANA,MALKAPUR,MAHARASHTRA,223758
24,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000025,PARBHANI,"KACHHI BAZAR,PARBHANI PIN 431 401",PARBHANI,PARBHANI,MAHARASHTRA,225010
25,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000026,NANDED,"GURUKRUPA MARKET,MAHAVIR CHOWK,VAZIRABAD,NANDED PIN 431 601",NANDED,NANDED,MAHARASHTRA,230259
26,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000027,KALBADEVI,"205,207,209 NARAYAN BANSILAL BLD.,KALBADEVI RD,IN FRONT OF JAIN MANDIR,KALBADEVI,MUMBAI PIN 400 002",MUMBAI,MUMBAI,MAHARASHTRA,22400251
