,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,KARUR VYSYA BANK,KVBL0001101,CENTRAL OFFICE,"THE KARUR VYSYA BANK LTD, CENTRAL OFFICE ,ERODE ROAD,,KARUR-639002",KARUR,KARUR,TAMIL NADU,0
1,KARUR VYSYA BANK,KVBL0001102,CHENNAI DO,"KVB TOWERS, I FLOOR 568 ANNA SALAI, TEYNAMPET, CHENNAI-600018",CHENNAI,CHENNAI,TAMIL NADU,0
2,KARUR VYSYA BANK,KVBL0001103,INTERNATIONAL DIVISION,"THE KARUR VYSYA BANK LTD, CHENNAI INTERNATIONAL DIVISION,KVB TOWERS II FLOOR,568 ANNA SALAI TEYNAMPET,CHENNAI-600018",CHENNAI,CHENNAI,TAMIL NADU,0
3,KARUR VYSYA BANK,KVBL0001104,CHENNAI ALANDUR,"269  M.K.N.ROAD,ALANDUR,CHENNAI-600016",KANCHEEPURAM,ALANDUR,TAMIL NADU,0
4,KARUR VYSYA BANK,KVBL0001105,ALANGANALLUR,"5-1/87  MAIN ROAD,,ALANGANALLUR-625501",MADURAI,ALANGANALLUR,TAMIL NADU,0
5,KARUR VYSYA BANK,KVBL0001107,ANAIMALAI,"34  PALANIYANDI PILLAI ST.,,ANAIMALAI-642104",COIMBOTORE,ANAIMALAI,TAMIL NADU,0
6,KARUR VYSYA BANK,KVBL0001108,ARNI,"22,SRINIVASAN STREET,ARNI-632301",TIRUVANNAMALAI,ARNI,TAMIL NADU,0
7,KARUR VYSYA BANK,KVBL0001109,ATTUR,"P.B. NO. 6 767  RANIPET MAIN ROAD,,ATTUR-636102",SALEM,ATTUR,TAMIL NADU,0
8,KARUR VYSYA BANK,KVBL0001110,AUNDIPATTI,"P.B. NO. 1 9-1-68-W 1ST FLOOR,THENI ROAD,AUNDIPATTI-625512",THENI,ANDIPATTI JAKKAMPATTI,TAMIL NADU,0
9,KARUR VYSYA BANK,KVBL0001111,KATHIRNARASINGAPURAM,"193  3RD WARD  MAIN ROAD,RAJADHANI P.O.,KATHIRNARASINGAPURAM-625512",THENI,ANDIPATTI JAKKAMPATTI,TAMIL NADU,0
10,KARUR VYSYA BANK,KVBL0001112,BATLAGUNDU,"13-1-207  MAIN ROAD,,BATLAGUNDU-624202",DINDIGUL,BATLAGUNDU,TAMIL NADU,0
11,KARUR VYSYA BANK,KVBL0001113,BELUKURICHI,"5/101  PALANIAPPAR KOVIL ST.,,BELUKURICHI-637402",SALEM,BELUKURICHI,TAMIL NADU,0
12,KARUR VYSYA BANK,KVBL0001114,BHAVANI,"P.B. NO. 2 190  I FLOOR SAKTHI PLAZA,MAIN ROAD,BHAVANI-638301",ERODE,BHAVANI,TAMIL NADU,0
13,KARUR VYSYA BANK,KVBL0001115,BODINAYAKANUR,"P.B. NO. 14 22/73  KAMARAJ BAZAAR,I FLOOR,BODINAYAKANUR-625513",THENI,BODINAYAKANUR,TAMIL NADU,0
14,KARUR VYSYA BANK,KVBL0001116,CHIDAMBARAM,"36/1,WEST CAR STREET,CHIDAMBARAM-608001",CUDDALORE,CHIDAMBARAM,TAMIL NADU,0
15,KARUR VYSYA BANK,KVBL0001117,CHINNALAPATTI,"P.B. NO. 13 11-3-36  KAMARAJAR STREET,,CHINNALAPATTI-624301",DINDIGUL,CHINNALAPATTI,TAMIL NADU,0
16,KARUR VYSYA BANK,KVBL0001118,CHINNAMANUR,"215/275  MAIN ROAD,,CHINNAMANUR-625515",THENI,CHINNAMANUR,TAMIL NADU,0
17,KARUR VYSYA BANK,KVBL0001119,CHENNAI CHROMEPET,"117  STATION ROAD,CHROMEPET,CHENNAI-600044",KANCHEEPURAM,TAMBARAM,TAMIL NADU,0
