,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,BANK OF MAHARASHTRA,MAHB0000001,BAJIRAO ROAD,"JANMANGAL,  1177, BUDHWAR PETH PUNE 411 002",PUNE,PUNE,MAHARASHTRA,24473712
1,BANK OF MAHARASHTRA,MAHB0000002,"FORT BRANCH┬á, MUMBAI","45/47, 'JANMANGAL', MUMBAI SAMACHAR MARG, FORT, MUMBAI-400023",GREATER BOMBAY,MUMBAI,MAHARASHTRA,22663947
2,BANK OF MAHARASHTRA,MAHB0000003,"DECCAN GYMKHANA, PUNE","1257, DECCAN GYMKHAN, PAWAR BLDG, PUNE 411004",PUNE,PUNE,MAHARASHTRA,25531955
3,BANK OF MAHARASHTRA,MAHB0000004,JALGAON CITY,"SHAH ARCADE, 1ST FLOOR FRONT OF NATWAR TALKIES , NAVI PETH",JALGAON,JALGAON,MAHARASHTRA,2236553
4,BANK OF MAHARASHTRA,MAHB0000005,"SITABULDI, NAGPUR","172, MAHABANK BUILDING, ABHYANKAR RD, SITABULDI NAGPUR 440 012",NAGPUR,NAGPUR,MAHARASHTRA,2545008
5,BANK OF MAHARASHTRA,MAHB0000006,"GIRGAUM, MUMBAI",215 BHATAVADEKAR BLDG RAJARAM MOHAN ROY ROAD GIRGAUM MUMBAI 400004,GREATER BOMBAY,MUMBAI,MAHARASHTRA,23867095
6,BANK OF MAHARASHTRA,MAHB0000007,"KHADKI, PUNE","DEEPASHRI, 157 OLD BAZAR, KHADKI, PUNE 411003",PUNE,PUNE,MAHARASHTRA,25816049
7,BANK OF MAHARASHTRA,MAHB0000008,RATNAGIRI CITY,"SARASWATI GAJANAN SMRUTI , SUBHASH RD, RATNAGIRI 415 612",RATNAGIRI,RATNAGIRI,MAHARASHTRA,222315
8,BANK OF MAHARASHTRA,MAHB0000009,KOPARGAON,MAHATMA PHULE ROAD,AHMADNAGAR,KOPARGAON,MAHARASHTRA,223024
9,BANK OF MAHARASHTRA,MAHB0000010,DHULE CITY,"RAJWADA BLDG. LANE NO.4, DHULE-424001",DHULE,DHULE,MAHARASHTRA,232138
10,BANK OF MAHARASHTRA,MAHB0000011,PHALTAN GALLI SOLAPUR,"HYDERABADWALE BUILDING,TILAK CHOWK,SOLAPUR",SOLAPUR,SOLAPUR,MAHARASHTRA,2733873
11,BANK OF MAHARASHTRA,MAHB0000012,CHALISGAON,"SETH N B VACHNALAYA BLDG, STATION ROAD, CHALISGAON, DIST JALGAON 424 101",JALGAON,JALGAON,MAHARASHTRA,222820
12,BANK OF MAHARASHTRA,MAHB0000013,HUBLI MAIN,"VICTORIAL BUILDING, KOPPIKAR ROAD, HUBLI - 580020",DHARWAD,HUBLI-DHARWAD,KARNATAKA,2365388
13,BANK OF MAHARASHTRA,MAHB0000014,"NASIK CITY, NASIK","JANMANGAL,  TILAK ROAD, NASIK 422 001",NASIK,NASHIK,MAHARASHTRA,2502951
14,BANK OF MAHARASHTRA,MAHB0000015,SC KALYAN,"GIRIJASHANKAR MKT BLDG,GOSHALA RD,SHIVAJI CHOWK, KALYAN 421304",THANE,KALYAN,MAHARASHTRA,2213054
15,BANK OF MAHARASHTRA,MAHB0000016,"RANADE ROAD, DADAR, MUMBAI","POPATLAL NIWAS, RANADE ROAD, DADAR WEST, MUMBAI 400028",GREATER BOMBAY,MUMBAI,MAHARASHTRA,24228443
16,BANK OF MAHARASHTRA,MAHB0000017,NAVI PETH SOLAPUR,"LALBAHADUR SHASTRI SHOPPING CENTRE, NAVIPETH,MAIN ROAD,SOLAPUR-413001",SOLAPUR,SOLAPUR,MAHARASHTRA,2733874
