,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,THE NAINITAL BANK LIMITED,NTBL0AGR072,AGRA,"KENDRIYA HINDI SANSTHAN ROAD, KHANDARI CROSSING, AGRA (UP)",AGRA,AGRA,UTTAR PRADESH,2530642
1,THE NAINITAL BANK LIMITED,NTBL0ALM002,ALMORA,"L.R.SAH ROAD, ALMORA (UTTARAKHAND)",ALMORA,ALMORA,UTTARAKHAND,230030
2,THE NAINITAL BANK LIMITED,NTBL0ALM082,LOWAR MALL,"LOWER MALL ROAD ,ALMORA, 263601, UTTARAKHAND",ALMORA,ALMORA,UTTARAKHAND,231701
3,THE NAINITAL BANK LIMITED,NTBL0AMB115,AMBALA,"02 OPPOSITE NEW GRAIN MARKET,HISSAR ROAD AMBALA",AMBALA,AMBALA,HARYANA,2202300
4,THE NAINITAL BANK LIMITED,NTBL0BAG012,BAGESHWAR,"VIKRANT SHOPING COMPLEX,CHOWK BAZAR, BAGESHWAR (UTTARAKHAND)",BAGESHWAR,BAGESHWAR,UTTARAKHAND,220023
5,THE NAINITAL BANK LIMITED,NTBL0BAH018,BAHERI,"NAINITAL ROAD, BAHERI 243201, BAREILLY (U.P)",BAREILLY,BAHERI,UTTAR PRADESH,222054
6,THE NAINITAL BANK LIMITED,NTBL0BAI019,BAILPARAO,"BAILPARAO , NAINITAL (UTTARAKHAND)",NAINITAL,BAILPARAO,UTTARAKHAND,286023
7,THE NAINITAL BANK LIMITED,NTBL0BAL132,BALLABHGARH,"FCA-54 NEAR IDBI BANK, SHYAM COLONY, BALLABHGARH-FARIDABAD, HARYANA-121004",FARIDABAD,FARIDABAD,HARYANA,2216181
8,THE NAINITAL BANK LIMITED,NTBL0BAN035,BANLEKH,"VIA-DOFAR, BANLEKH BAGESHWAR (UTTARAKHAND)",BAGESHWAR,AKSORA,UTTARAKHAND,212240
9,THE NAINITAL BANK LIMITED,NTBL0BAN127,BANBASA,"THE NAINITAL BANK LTD, PETROL PUMP COMPOUND, KHATIMA ROAD, BANBASA, DISTT CHAMPAWAT, UTTARAKHAND - 262309",CHAMPAWAT,BANBASA,UTTARAKHAND,263020
10,THE NAINITAL BANK LIMITED,NTBL0BAR022,BAREILLY,"46, CIVIL LINES, BAREILLY 243001 (U.P.)",BAREILLY,BAREILLY,UTTAR PRADESH,2578520
11,THE NAINITAL BANK LIMITED,NTBL0BAR029,BARA,"KICHHA-SITARGANJ ROAD, VILL & PO-BARA",UDHAM SINGH NAGAR,BARA,UTTARAKHAND,236622
12,THE NAINITAL BANK LIMITED,NTBL0BAR075,"PRABHAT NAGAR , BAREILLY","PRABHAT PUBLIC HIGHER SECONDARY SCHOOL, PRABHAT NAGAR, BAREILLY (U.P.)",BAREILLY,BAREILLY,UTTAR PRADESH,2320137
13,THE NAINITAL BANK LIMITED,NTBL0BAZ009,BAZPUR,"RAMRAJ ROAD, BAZPUR, U.S.NAGAR (UTTARAKHAND)",UDHAM SINGH NAGAR,BAZPUR,UTTARAKHAND,281050
14,THE NAINITAL BANK LIMITED,NTBL0BAZ104,"MAHESHPURA, DORAHA","MAHESHPUR, DORAHA, BAZPUR ROAD ,BAZPUR -262401",UDHAM SINGH NAGAR,BAZPUR,UTTARAKHAND,282050
15,THE NAINITAL BANK LIMITED,NTBL0BAZ117,BARHANI BAZPUR,"ANAND FARM,VILLAGE BAHHANI BAZPUR",UDAM SINGH NAGAR,BAZPUR,UTTARAKHAND,8881803830
16,THE NAINITAL BANK LIMITED,NTBL0BAZ136,VIKRAMPUR,"THE NAINITAL BANK LTD, VILL VIKRAMPUR, KESHOWALA MOD, BAZPUR,DIST UDHAM SING NAGAR,UTTARAKHAND 262401",UDHAM SINGH NAGAR,BAZPUR,UTTARAKHAND,281250
17,THE NAINITAL BANK LIMITED,NTBL0BHI010,BHIMTAL,"MALLITAL, BHIMTAL (NAINITAL)",NAINITAL,BHIMTAL,UTTARAKHAND,247037
18,THE NAINITAL BANK LIMITED,NTBL0BHI043,BHINGARARA,"BHINGRARA , CHAMPAWAT (UTTARAKHAND)",CHAMPAWAT,BHINGARARA,UTTARAKHAND,8650943835
19,THE NAINITAL BANK LIMITED,NTBL0BHO084,BHOOR MAHOLIA,"BHOOR MAHOLIA,SITARGANJ ROAD ,KHATIMA 262308 (U S NAGAR) UTTRANCHAL",UDHAM SINGH NAGAR,KHATIMA,UTTARAKHAND,250755
20,THE NAINITAL BANK LIMITED,NTBL0BHO090,BHOWALI,"RAMGHAR ROAD ,BHOWALI-263132 (NAINITAL) UTTARAKHAND",NAINITAL,BHOWALI,UTTARAKHAND,220086
21,THE NAINITAL BANK LIMITED,NTBL0BIJ119,BIJNOR,"THE NAINITAL BANK LTD ANKUR HEIGHTS, CIVIL LINES, KIRATPUR ROAD, BIJNOR",BIJNOR,BIJNOR,UTTAR PRADESH,263636
22,THE NAINITAL BANK LIMITED,NTBL0BIL081,BILASPUR,"PATEL NAGAR,OPP SHIV BAGH MANDI, BILASPUR -244921(RAMPUR) UP",RAMPUR,BILASPUR,UTTAR PRADESH,241200
23,THE NAINITAL BANK LIMITED,NTBL0BUL048,BULANDSHAHR,"171, CIVIL LINES, BULANDSHAHAR (U.P.) 203001",BULANDSHAHR,BULANDSHAHR,UTTAR PRADESH,287319
24,THE NAINITAL BANK LIMITED,NTBL0CHA015,CHAMPAWAT,CHAMPAWAT (UTTARAKHAND),CHAMPAWAT,CHAMPAWAT,UTTARAKHAND,230027
25,THE NAINITAL BANK LIMITED,NTBL0CHA042,CHAUMEL,"CHAUMEL BAZAR, CHAUMEL, CHAMPAWAT (UTTARAKHAND)",CHAMPAWAT,CHAUMEL,UTTARAKHAND,251003
26,THE NAINITAL BANK LIMITED,NTBL0DEH057,DEHRADUN,"58, RAJURA ROAD, NEAR MADHUBAN HOTEL, DEHRADUN",DEHRA DUN,DEHRADUN,UTTARAKHAND,2741852
27,THE NAINITAL BANK LIMITED,NTBL0DEH100,HARIDWAR ROAD DEHRADUN,"6/1 HARIDWAR ROAD, NEAR CITY BANQUET - 248001",DEHRA DUN,DEHRADUN,UTTARAKHAND,2520872
28,THE NAINITAL BANK LIMITED,NTBL0DEH101,SAHARANPUR ROAD DEHRADUN,"2 PRITY ENCLAVE SAHARANPUR ROAD, DEHRADUN-248171",DEHRA DUN,DEHRADUN,UTTARAKHAND,2640780
29,THE NAINITAL BANK LIMITED,NTBL0DEH113,VASANT VIHAR DEHRADUN,"1ST FLOOR COMMERCIAL COMPLEX,49 INDIRA NAGAR,VASANT VIHAR,DEHRADUN",DEHRADUN,DEHRADUN,UTTARAKHAND,2760787
30,THE NAINITAL BANK LIMITED,NTBL0DEH118,CHAKRATA ROAD DEHRADUN,CHAGAN LAL BUILDING CHAKRATA ROAD DEHRADUN,DEHRADUN,DEHRADUN,UTTARAKHAND,2770960
31,THE NAINITAL BANK LIMITED,NTBL0DEL032,PANCHKUIAN ROAD,"33, P.K.ROAD, ABOVE LAHORE FURNITURE MART, NEW DELHI 01",DELHI,DELHI,DELHI,23583606
32,THE NAINITAL BANK LIMITED,NTBL0DEL038,"LAJPATNAGAR, DELHI","40-41, PUSHPA MARKET, CENTRAL MARKET, LAJPATNAGAR, NEW DELHI",DELHI,DELHI,DELHI,29834225
33,THE NAINITAL BANK LIMITED,NTBL0DEL039,"SHALIMARBAGH, DELHI","BH-8, BHAGWATI BHAWAN, SHALIMARBAGH, DELHI 110052",DELHI,DELHI,DELHI,27495914
34,THE NAINITAL BANK LIMITED,NTBL0DEL040,"TILAKNAGAR,  DELHI","8/33, TILAKNAGAR, NEW DELHI 110018",DELHI,DELHI,DELHI,25987475
35,THE NAINITAL BANK LIMITED,NTBL0DEL047,PATPARGANJ,"P-37, PANDAV  NAGAR, PATPARGANJ, DELHI",DELHI,DELHI,DELHI,22792984
36,THE NAINITAL BANK LIMITED,NTBL0DEL049,"PITAMPURA , DELHI","SATABDI HOUSE, PLOTNO. 3, COMMERCIAL COMPLEX, ROHIT KUNJ, WEST PITAMPURA 110034, DELHI",DELHI,DELHI,DELHI,27351524
37,THE NAINITAL BANK LIMITED,NTBL0DEL053,"I.P. EXTENSION, DELHI","VIVEKANAND INTERNATIONAL SCHOOL, I.P. EXTENSION, DELHI 92",DELHI,DELHI,DELHI,22232950
38,THE NAINITAL BANK LIMITED,NTBL0DEL059,PAPPANKALAN(DWARKA),"29/2, VIJAY ENCLAVE, PALAM DABRI ROAD, DWARKA, DELHI",DELHI,KAPAS  HERA,DELHI,25055006
39,THE NAINITAL BANK LIMITED,NTBL0DEL065,"VIKAS MARG, DELHI","4, JAGRITI ENCLAVE, VIKAS MARG, NEW DELHI",DELHI,DELHI,DELHI,22161187
40,THE NAINITAL BANK LIMITED,NTBL0DEL066,"NEW ASHOK NAGAR , DELHI","OPPOSITE EAST APPARTMENTS, MAYUR VIHAR, PHASE -A, DELHI",DELHI,DELHI,DELHI,22622800
41,THE NAINITAL BANK LIMITED,NTBL0DEL073,"ROHINI, SECTOR-16","E-4, SECTOR 16, JAIN BHARTI MODEL, PUBLIC SCHOOL, ROHINI, DELHI 110085",DELHI,DELHI,DELHI,27899070
42,THE NAINITAL BANK LIMITED,NTBL0DEL076,"ROHTAK ROAD, DELHI","M - 123GURU HARIKISHAN NAGAR (ROHTAK ROAD), PASCHIM VIHAR NEW DELHI - 87",DELHI,DELHI,DELHI,25289112
43,THE NAINITAL BANK LIMITED,NTBL0DEL080,RTGS-HO,"SERVICE BRANCH, 33 - PANCHKUIAN ROADNEW DELHI",DELHI,DELHI,DELHI,23583068
44,THE NAINITAL BANK LIMITED,NTBL0DEL105,SURHERA NAJAFGARH,"VILLAGE & POST: SURHERA (NAZAFGARH), NEW DELHI-110043",DELHI,NEW DELHI,DELHI,28013040
45,THE NAINITAL BANK LIMITED,NTBL0DEL110,DWARKA NEW DELHI,DELHI DWARKA,DELHI,NEW DELHI,DELHI,2280300
46,THE NAINITAL BANK LIMITED,NTBL0DEL114,DILSHAD GARDEN,"C 16,DILSHAD COLONY,DILSHAD GARDEN",DELHI,DELHI,DELHI,22354601
47,THE NAINITAL BANK LIMITED,NTBL0DEV030,DEVIDHURA,"JAGDAMBA MARKET, DEVIDHURA (UTTARAKHAND)",CHAMPAWAT,DEVIDHURA,UTTARAKHAND,238023
48,THE NAINITAL BANK LIMITED,NTBL0DHA085,DHARCHULA,"TEHSIL ROAD ,DHARCHULA, (PITHORAGHAR) UTTARAKHAND",PITHORAGARH,DHARCHULA,UTTARAKHAND,222995
49,THE NAINITAL BANK LIMITED,NTBL0DHA123,DHAMPUR BIJNOR,THE NAINITAL BANK LTD OM HOUSE NEAR PIR TEACHERS COLONY NH 74 DHAMPUR DIST BIJNOR UP,BIJNOR,DHAMPUR,UTTAR PRADESH,221200
50,THE NAINITAL BANK LIMITED,NTBL0DIN139,DINESHPUR,"MAIN BAZAR, GULARBHOJ ROAD, DINESHPUR RUDRAPUR US NAGAR",UDHAM SINGH NAGAR,RUDRAPUR,UTTARAKHAND,7456001347
51,THE NAINITAL BANK LIMITED,NTBL0DOI092,DOIWALA,"RISHIKESH HARDWAR ROAD,MAIN MARKET,DOIWALA,DEHRADOON",DEHRA DUN,DOIWALA,UTTARAKHAND,2691258
52,THE NAINITAL BANK LIMITED,NTBL0DWA096,DWARAHAT,"RANIKHET BADRINATH MARG, DWARAHAT- 263563",ALMORA,ALMORA,UTTARAKHAND,244335
53,THE NAINITAL BANK LIMITED,NTBL0FAR064,FARIDABAD,"DSS-10, HUDA MARKET, SHOPPING CENTRE, SECTOR-29, FARIDABAD (HARYANA)",FARIDABAD,FARIDABAD,HARYANA,2504526
54,THE NAINITAL BANK LIMITED,NTBL0FAR106,FARIDPUR,"MAIN MARKET, BAREILLY-LUCKNOW ROAD, FARIDPUR, DISTT - BAREILLY, (U.P.) - 243503",BAREILLY,BAREILLY,UTTAR PRADESH,231050
55,THE NAINITAL BANK LIMITED,NTBL0GAD052,GADARPUR,"GROVER MARKET, NEAR GURU NANAK MARKET, GADARPUR",UDHAM SINGH NAGAR,GADARPUR,UTTARAKHAND,271994
56,THE NAINITAL BANK LIMITED,NTBL0GHA026,GHAZIABAD,"35, ADDL. SIGANI GATE SCHEME, NEAR NAVYUG MARKET, GHAZIABAD, (U.P.)",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,2790880
57,THE NAINITAL BANK LIMITED,NTBL0GHA054,VAISHALI,"SECTOR 4, PLOTNO. 3, COMMERCIAL CENTRE, MAIN ROAD, VAISHALI (GHAZIABAD) U.P.",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,2779118
58,THE NAINITAL BANK LIMITED,NTBL0GHA126,SANJAY NAGAR GHAZIABAD,"D-10, SANJAY NAGAR, GHAZIABAD, UP",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,2783042
